iteration,imitation_loss,student_reward,behavior_policy,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,finite_fitness_fraction
0,0.002823344897478819,141.1999969482422,expert,,10000,10000,,,1.0
1,0.05478667467832565,3.0,student,147.5735325532801,20000,10000,68,0,1.0
