Complexity,Loss,Equation
1,0.1207751,"0.29826188"
2,0.09827424,"tanh(x3)"
3,0.0489099,"x3 * 0.33772534"
4,0.036788095,"tanh(x3) * 0.62646574"
5,0.035773266,"tanh(tanh(x3)) * 0.7773333"
6,0.03207479,"(tanh(x3) * 0.54881424) + x1"
7,0.031808194,"tanh(x1 + (tanh(x3) / 1.602552))"
8,0.029347425,"x1 + ((0.5674594 - x0) * tanh(x3))"
9,0.029094918,"tanh(x1 + ((0.6441996 - x0) * tanh(x3)))"
10,0.025036978,"(0.58242357 - x0) * tanh((x1 * 5.999982) + x3)"
12,0.024110347,"(x0 + tanh(x3 + (x1 / 0.16226685))) * (0.582763 - x0)"
13,0.023862982,"tanh((0.58242357 - x0) * tanh((x1 * 5.999982) + x3)) - -0.043207135"
14,0.022217434,"tanh(tanh(tanh(((x1 / 0.103948295) + x3) * ((0.5040096 - x0) - x0))))"
16,0.022217426,"tanh(tanh(tanh((x3 + ((x1 / 0.1143641) * 1.1006422)) * ((0.50398606 - x0) - x0))))"
17,0.021015232,"tanh(tanh((0.06573087 / (x2 + 0.53669685)) + (((x3 + (x1 / 0.2261201)) - x0) * 0.47499627)))"
18,0.021010183,"tanh(tanh((0.49048355 * (((x1 / tanh(0.3225744)) + x3) - x0)) + (0.06573087 / (0.53669685 + x2))))"
20,0.017392304,"tanh(tanh((0.05304884 / (x2 + 0.5933555)) + (((x3 + (x1 / 0.12645896)) - x0) * tanh(0.45562503 - x0))))"
21,0.017258927,"tanh(tanh((0.053552702 / (x2 + 0.5923014)) + ((((x1 / 0.129647) - x0) + x3) * ((0.3952376 - x0) + 0.04199868))))"
