position,expression,length,operon_mse,validation_mse,reward
0,(0.096161 + (0.858077 * (0.334207 * X4))),5,0.04668540880084038,0.05152066797018051,13.100000381469727
1,(0.078619 + (0.477574 * tanh(((-4.833707) * X3)))),6,0.024626106023788452,0.019160836935043335,19.399999618530273
2,(0.051800 + (0.643444 * (tanh(((-5.000698) * X3)) / (sqrt(1 + (16.771551 * X1) ^ 2))))),8,0.01938200369477272,0.012692941352725029,19.0
3,(0.057390 + (0.927946 * (((2.789508 * X2) - ((-0.587755) * X4)) / (sqrt(1 + ((-2.328136) * X3) ^ 2))))),9,0.01841065287590027,0.015710456296801567,75.70000457763672
4,(0.024779 + (0.567732 * tanh((((29.792175 * X2) - ((-3.824682) * X4)) / (sqrt(1 + (76.296967 * X1) ^ 2)))))),10,0.01343926228582859,0.00949077494442463,67.5
5,(0.024875 + (0.766064 * tanh(tanh((((16.189447 * X2) - ((-2.704753) * X4)) / (sqrt(1 + (66.745728 * X1) ^ 2))))))),11,0.013395478948950768,0.009787874296307564,59.900001525878906
6,(0.029149 + (0.600993 * (tanh((((12.982850 * X2) - ((-2.158163) * X4)) / (sqrt(1 + (33.494625 * X1) ^ 2)))) - ((-0.098516) * X3)))),12,0.013274090364575386,0.009423986077308655,98.0
7,(0.027222 + (0.811023 * (tanh(tanh((((30.547955 * X2) - ((-2.863212) * X4)) / (sqrt(1 + (74.816803 * X1) ^ 2))))) - (0.964287 * X2)))),13,0.013111034408211708,0.008660520426928997,61.10000228881836
8,(0.026625 + (0.955218 * (tanh(tanh(tanh((((15.020297 * X2) - ((-2.537763) * X4)) / (sqrt(1 + (67.951759 * X1) ^ 2)))))) + (0.058843 * X3)))),14,0.013053112663328648,0.00911420863121748,78.9000015258789
9,(0.031824 + (0.959972 * (tanh(((tanh(((25.193821 * X2) - ((-2.718944) * X4))) / (sqrt(1 + (2.935590 * X3) ^ 2))) / (sqrt(1 + (39.600529 * X1) ^ 2)))) + ((-0.384883) * X3)))),15,0.012298975139856339,0.01045316644012928,52.20000076293945
10,((-0.008412) + (0.889273 * (tanh((((18.206635 * X2) - ((-2.325932) * X4)) + ((5.582171 * X3) - 0.865283))) + ((5.510042 * X1) - ((-0.400470) * X4))))),16,0.008531688712537289,287950962688.0,1000.0
11,((-0.005759) + (1.013256 * tanh((tanh((((18.213724 * X2) - ((-2.329584) * X4)) + ((5.591447 * X3) - 0.865363))) + ((5.510673 * X1) - ((-0.400916) * X4)))))),17,0.008435270749032497,0.009016981348395348,1000.0
12,((-0.004500) + (1.009378 * ((tanh((((16.838058 * X2) - ((-1.938772) * X4)) + ((5.034050 * X3) - 0.826375))) + ((5.283597 * X1) - ((-0.527587) * X4))) / (sqrt(1 + (9.947792 * X1) ^ 2))))),18,0.00796451698988676,0.01111392118036747,1000.0
