position,expression,length,operon_mse,validation_mse,reward
0,(0.075422 + (0.882527 * (0.338238 * X4))),5,0.04567015916109085,0.06275419145822525,15.90000057220459
1,(0.070718 + (0.479361 * tanh(((-4.780137) * X3)))),6,0.031108107417821884,0.08026449382305145,21.100000381469727
2,(0.062143 + (1.259364 * ((0.688210 * X4) / (sqrt(1 + ((-3.456383) * X3) ^ 2))))),7,0.029034126549959183,0.054807502776384354,35.5
3,(0.152231 + (0.409588 * (tanh(((-4.798124) * X3)) + ((-2.133886) * X1)))),8,0.028479550033807755,4.759889740491129e+18,14.699999809265137
4,(0.055332 + (0.952892 * (((2.075380 * X2) - ((-0.613815) * X4)) / (sqrt(1 + ((-2.451642) * X3) ^ 2))))),9,0.024193869903683662,0.04857834056019783,68.30000305175781
5,(0.000575 + (0.860276 * tanh((((27.456587 * X2) / (sqrt(1 + (211.554504 * X1) ^ 2))) + (0.336090 * X4))))),10,0.02266036532819271,0.04269353300333023,209.1999969482422
6,(0.013881 + (0.986959 * ((((11.804255 * X2) / (sqrt(1 + (109.048470 * X1) ^ 2))) - ((-0.587292) * X4)) / (sqrt(1 + (2.490009 * X3) ^ 2))))),11,0.018844828009605408,0.04370102286338806,280.3999938964844
7,(0.005102 + (0.996014 * ((0.351600 * X3) + tanh((((33.526157 * X2) / (sqrt(1 + ((-253.796463) * X1) ^ 2))) + (0.588756 * X4)))))),12,0.018603863194584846,0.04429573193192482,1000.0
8,(0.010888 + (0.983048 * ((0.131567 * X4) + ((((15.448567 * X2) / (sqrt(1 + ((-116.416176) * X1) ^ 2))) - ((-0.503951) * X4)) / (sqrt(1 + ((-4.159035) * X3) ^ 2)))))),13,0.018020866438746452,0.04199666529893875,290.0
9,((-0.002122) + (1.002739 * (((2.676556 * X4) + (((8.954350 * X2) / (sqrt(1 + ((-21.617336) * X1) ^ 2))) + tanh(((-3.700553) * X4)))) / (sqrt(1 + (8.898610 * X3) ^ 2))))),14,0.01575935073196888,0.03964782506227493,1000.0
10,((-0.006530) + (1.009667 * tanh((((((12.345307 * X2) / (sqrt(1 + ((-36.315140) * X1) ^ 2))) - ((-2.614514) * X4)) + tanh(((-3.603781) * X4))) / (sqrt(1 + ((-7.630573) * X3) ^ 2)))))),15,0.01561437826603651,0.04153503477573395,1000.0
11,((-0.030687) + (1.041542 * ((((2.668208 * X4) + (((8.635340 * X2) / (sqrt(1 + ((-19.806667) * X1) ^ 2))) + tanh(((-3.469186) * X4)))) / (sqrt(1 + ((-8.768327) * X3) ^ 2))) + (0.270149 * X1)))),16,0.015190737321972847,,1000.0
12,((-0.029618) + (1.033491 * (((-0.426056) * X3) + (((((15.004816 * X2) / (sqrt(1 + ((-24.303596) * X1) ^ 2))) - ((-1.617791) * X4)) + ((2.565239 * X3) + ((-4.587300) * X2))) / (sqrt(1 + ((-6.702372) * X3) ^ 2)))))),17,0.01516623143106699,,346.6000061035156
13,((-0.011096) + (1.015084 * (((-0.256640) * X3) + (((((16.840355 * X2) / (sqrt(1 + ((-29.168663) * X1) ^ 2))) - ((-2.198426) * X4)) + tanh(((-3.383751) * X4))) / (sqrt(1 + ((21.185379 * X3) - ((-3.855446) * X4)) ^ 2)))))),18,0.014312651939690113,,107.9000015258789
14,(0.007365 + (0.987674 * (((((78.474472 * X2) / (sqrt(1 + (2.779204 * X1) ^ 2))) - (((-4.733187) * X1) - (1.880380 * X4))) + (((2.902862 * X3) + (-0.584991)) + ((-67.200752) * X2))) / (sqrt(1 + ((-2.019064) * X3) ^ 2))))),19,0.013475739397108555,,1000.0
15,(0.002596 + (0.994377 * ((((((65.506401 * X2) / (sqrt(1 + (3.281684 * X1) ^ 2))) - (((-2.508072) * X1) - (2.035829 * X4))) + (((3.367607 * X3) - 0.618055) + ((-53.478256) * X2))) / (sqrt(1 + ((-1.820778) * X3) ^ 2))) + (2.311772 * X1)))),21,0.01232434343546629,,1000.0
16,((-0.012489) + (1.019538 * (((-0.488946) * X3) + (((((40.380020 * X2) / (sqrt(1 + (5.772485 * X1) ^ 2))) - (((-5.900819) * X1) - (2.166112 * X4))) + (((4.488374 * X3) + (-0.749213)) + ((-24.446262) * X2))) / (sqrt(1 + ((7.311830 * X3) - ((-1.851392) * X4)) ^ 2)))))),23,0.01055905595421791,,1000.0
17,((-0.000196) + (1.066120 * ((-0.425366) + (((-1.213297) * X3) + (((((29.383997 * X2) / (sqrt(1 + (6.581590 * X1) ^ 2))) - (((-3.839076) * X1) - (1.836721 * X4))) + (((5.093167 * X3) + (-0.050864)) + ((-16.133627) * X2))) / (sqrt(1 + ((5.220950 * X3) - ((-1.734675) * X4)) ^ 2))))))),25,0.008807900361716747,,1000.0
18,((-0.001594) + (0.992029 * (((((((19.984352 * X1) - ((((-6.803917) * X2) / (sqrt(1 + ((-32.890297) * X1) ^ 2))) - ((-1.892805) * X4))) + tanh(((-1.371836) * X4))) / (sqrt(1 + ((3.837597 * X3) - ((-1.563538) * X4)) ^ 2))) - ((-3.268911) * X4)) + ((2.960489 * X3) - (0.318099 * X1))) + (tanh(((-3.445205) * X3)) + ((-19.463051) * X1))))),29,0.006170601584017277,,66.5999984741211
