action_index,generation,best_loss,median_loss,candidate_count
0,0,0.09406976401805878,0.1026030108332634,9
0,1,0.09406976401805878,0.09565377980470657,5
0,2,0.09300972521305084,0.09569251537322998,6
0,3,0.0930015966296196,0.09435290843248367,7
0,4,0.0892021432518959,0.09372897446155548,8
0,5,0.0892021432518959,0.09292328357696533,9
0,6,0.0892021432518959,0.09285934269428253,9
0,7,0.0892021432518959,0.09285934269428253,9
0,8,0.08879054337739944,0.09285934269428253,9
0,9,0.08879053592681885,0.09224923327565193,10
1,0,0.10880711674690247,0.11608894169330597,6
1,1,0.10329163819551468,0.11444100737571716,6
1,2,0.10073694586753845,0.11034797132015228,6
1,3,0.09877247363328934,0.10825208574533463,8
1,4,0.09877247363328934,0.10786635056138039,8
1,5,0.0973011702299118,0.10615083202719688,10
1,6,0.09517498314380646,0.10146648809313774,12
1,7,0.09517498314380646,0.0996413379907608,11
1,8,0.09217885136604309,0.09956139326095581,12
1,9,0.08804678916931152,0.09850140661001205,12
2,0,0.15950824320316315,0.17985652387142181,6
2,1,0.15883056819438934,0.18117864429950714,5
2,2,0.13976049423217773,0.1595037430524826,8
2,3,0.13844308257102966,0.15790745615959167,9
2,4,0.12984158098697662,0.15606163442134857,8
2,5,0.11886551231145859,0.14899800717830658,12
2,6,0.11452248692512512,0.14212848991155624,12
2,7,0.11345437169075012,0.13446734100580215,12
2,8,0.11016282439231873,0.13634787499904633,13
2,9,0.11016282439231873,0.13634787499904633,13
