iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.1063617,53.3,,,5000,5000,0
1,0.14068575,240.40001,1000.0,0.5,10000,5000,5000
2,0.12979417,241.1,1000.0,0.5,15000,5000,10000
3,0.124441475,241.1,1000.0,0.5,20000,5000,15000
4,0.1199939,258.6,1000.0,0.5,20000,5000,15000
5,0.117344685,120.6,1000.0,0.5,20000,5000,15000
6,0.11567605,120.6,1000.0,0.5,20000,5000,15000
7,0.11427201,125.8,1000.0,0.5,20000,5000,15000
8,0.11312081,57.600002,1000.0,0.5,20000,5000,15000
9,0.11228609,56.8,1000.0,0.5,20000,5000,15000
