position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.018847985193133354,0.014970860444009304,18.5,0.018880808725953102,0.015047132037580013,18.399999618530273,"[0.5507097840309143, 0.04368273913860321]"
1,8,0.018842602148652077,0.014204206876456738,18.399999618530273,0.01886260323226452,0.014601869508624077,18.399999618530273,"[0.5495421290397644, 0.044102296233177185]"
2,7,0.01883118413388729,0.014072319492697716,19.0,0.018812891095876694,0.014511825516819954,18.399999618530273,"[0.5426557660102844, 0.04347847402095795]"
3,6,0.018822578713297844,0.014154947362840176,19.0,0.018818125128746033,0.014586837030947208,18.399999618530273,"[0.5438154935836792, 0.04349321126937866]"
4,5,0.018816838040947914,0.015448812395334244,18.600000381469727,0.01873113587498665,0.01498955674469471,18.600000381469727,"[-0.5546830892562866, 0.04306378960609436]"
5,4,0.01881534606218338,0.01451097521930933,18.80000114440918,0.018821585923433304,0.014692735858261585,18.399999618530273,"[0.543731153011322, 0.04336385428905487]"
6,3,0.018811529502272606,0.014238875359296799,18.899999618530273,0.018820393830537796,0.01459366362541914,18.399999618530273,"[0.5443348288536072, 0.043534278869628906]"
7,2,0.018802588805556297,0.014343048445880413,19.200000762939453,0.01863955147564411,0.014404352754354477,18.899999618530273,"[-0.5404695272445679, 0.04249165952205658]"
8,1,0.018766779452562332,0.015139457769691944,18.600000381469727,0.018687430769205093,0.014833181165158749,18.600000381469727,"[-0.549336314201355, 0.04275420308113098]"
9,0,0.01863725855946541,0.012994419783353806,16.5,0.01832210272550583,0.013274172320961952,14.199999809265137,"[-0.5485778450965881, 0.03510521352291107]"
