iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.00036630779504776,2047.8363037109375,,8000,8000,10000,,
1,0.0037213130854070187,303.87481689453125,1895.8787841796875,12083,10000,4083,20,0
2,0.002797079039737582,682.0729370117188,320.7060852050781,12795,10000,712,20,0
3,0.002175520407035947,1240.2034912109375,635.0065307617188,14189,10000,1394,20,0
4,0.003099302062764764,825.5870361328125,1238.889404296875,16866,10000,2677,20,0
5,0.0019470156403258443,2303.656494140625,842.63671875,18702,10000,1836,20,0
6,0.010634220205247402,240.2542724609375,2253.048583984375,23546,10000,4844,20,0
7,0.009446848183870316,776.35498046875,240.2950439453125,24086,10000,540,20,0
8,0.004267820622771978,894.68896484375,771.7909545898438,25771,10000,1685,20,0
9,0.0060200816951692104,858.53125,899.6260986328125,27726,10000,1955,20,0
