iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.10772487,98.70000457763672,,,5000,5000,0,0,1.0,0.10821022,0.10968542,,1,10,,,
1,0.11043606,102.9000015258789,1000.0,0.8,15000,5000,9914,86,1.0,0.10977549,0.1146871,0,1,10,0,98.70000457763672,0.8
2,0.13015811,49.5,1000.0,0.7000000000000001,17847,5000,11250,1597,1.0,0.120838635,0.14941812,0,1,10,1,102.9000015258789,0.7000000000000001
3,0.14263518,43.10000228881836,1000.0,0.6000000000000001,20000,5000,11250,3750,1.0,0.13331933,0.16672696,0,1,10,1,102.9000015258789,0.6000000000000001
4,0.14283684,64.9000015258789,1000.0,0.5,20000,5000,11250,3750,1.0,0.13001056,0.17095275,0,2,10,1,102.9000015258789,0.5
5,0.15022586,66.0,1000.0,0.4,20000,5000,11250,3750,1.0,0.13731885,0.17957936,0,1,10,1,102.9000015258789,0.4
6,0.1567339,136.1999969482422,1000.0,0.30000000000000004,20000,5000,11250,3750,1.0,0.14622201,0.18715481,0,1,10,1,102.9000015258789,0.30000000000000004
7,0.15455417,136.1999969482422,1000.0,0.19999999999999996,20000,5000,11250,3750,1.0,0.14496598,0.1828322,0,1,10,6,136.1999969482422,0.19999999999999996
8,0.15962632,203.10000610351562,154.7,0.09999999999999998,20000,5000,11250,3750,1.0,0.1589671,0.18579304,0,2,10,6,136.1999969482422,0.09999999999999998
9,0.16760525,203.10000610351562,202.0,0.0,20000,5000,11250,3750,1.0,0.17060582,0.19548921,0,8,10,8,203.10000610351562,0.0
10,0.17601797,50.10000228881836,199.1,0.0,20000,5000,11250,3750,1.0,0.18349901,0.20502684,0,1,10,8,203.10000610351562,0.0
11,0.18370672,50.10000228881836,212.2,0.0,20000,5000,11250,3750,1.0,0.19474733,0.2140391,0,1,10,8,203.10000610351562,0.0
12,0.18460432,273.3000183105469,197.90001,0.0,20000,5000,11250,3750,1.0,0.18032615,0.2310496,0,9,10,8,203.10000610351562,0.0
13,0.19548133,267.3000183105469,303.0,0.0,20000,5000,11250,3750,1.0,0.21134569,0.2417047,0,6,10,12,273.3000183105469,0.0
14,0.20249233,255.8000030517578,240.2,0.0,20000,5000,11250,3750,1.0,0.22453871,0.24825746,0,1,10,12,273.3000183105469,0.0
