position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,91,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
1,92,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
2,93,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
3,94,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
4,95,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
5,96,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
6,97,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
7,98,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
8,99,0.0028301840648055077,0.001796797150745988,932.5,0.0027960853185504675,0.00179044040851295,925.6000366210938,"[10.633487701416016, -8.096860885620117]"
9,0,0.002829143078997731,0.0018780544633045793,936.5,0.002774436492472887,0.0017657647840678692,927.2000122070312,"[9.455326080322266, -7.191035270690918]"
