environment,architecture,weighting,k,seeds,reward_n,reward_mean,reward_std,train_mse_n,train_mse_mean,train_mse_std,held_out_mse_n,held_out_mse_mean,held_out_mse_std,weighted_train_mse_n,weighted_train_mse_mean,weighted_train_mse_std,weighted_held_out_mse_n,weighted_held_out_mse_mean,weighted_held_out_mse_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,evaluation_seconds_n,evaluation_seconds_mean,evaluation_seconds_std,fit_and_evaluation_seconds_n,fit_and_evaluation_seconds_mean,fit_and_evaluation_seconds_std,process_seconds_n,process_seconds_mean,process_seconds_std
hopper,independent,q_dagger,1,5,5,70.79089221954345,59.50895379246084,5,0.11621061861515045,0.004963721866739083,5,0.1161586508154869,0.0042885154142078274,5,0.11089362353086471,0.005290081258296446,5,0.10963690876960755,0.005121907261199255,5,95.25730100559886,7.55716203994811,5,38.53009707560413,1.74608059634312,5,133.78739808120298,9.151915255925074,5,169.70906062580178,10.711614346993775
hopper,independent,q_dagger,2,5,5,122.05908584594727,115.3714289314237,5,0.10518339723348617,0.002526861882671608,5,0.10481901615858077,0.0028878486191060877,5,0.10139382034540176,0.00319355821704136,5,0.09944675862789154,0.003273641552399016,5,101.54223394599394,3.0765364836493143,5,42.53343045920483,1.9179752292596777,5,144.07566440519878,3.710940709776247,5,180.77080299360097,5.640331111888289
hopper,independent,q_dagger,4,5,5,327.25232315063477,262.41794404130263,5,0.09502236843109131,0.0024209925536202905,5,0.09606247246265412,0.0027623056831371684,5,0.08791962414979934,0.002178459280114466,5,0.08781234323978424,0.0017583160264679543,5,99.69348626739811,5.295105056079198,5,38.99742634799914,1.4308647604890332,5,138.69091261539725,5.4860405879891765,5,173.9337117882038,6.703044594770372
hopper,independent,q_dagger,8,5,5,308.6342712402344,208.14255959969014,5,0.0830902710556984,0.001453371487881933,5,0.08465782850980759,0.0024334539884239945,5,0.07495585829019547,0.002066327471342272,5,0.07573021650314331,0.003715371027740338,5,109.5332304407988,1.6954667269540766,5,19.298053985400475,14.238432046631058,5,128.83128442619926,14.82958989413648,0,,
hopper,independent,q_dagger,16,5,5,322.6199447631836,233.85754751282667,5,0.07306177169084549,0.0011489886774541094,5,0.0743897244334221,0.0014794806382389578,5,0.0646762952208519,0.001225269126155505,5,0.0648054115474224,0.002662604581475601,5,100.59208419459756,2.1302159454406433,5,37.11425228900043,1.1597952975097394,5,137.706336483598,1.9746477532942552,5,171.54024877020274,3.321411535714248
hopper,independent,q_dagger,32,5,5,416.0156555175781,427.6953838253247,5,0.063759745657444,0.0009260387074999178,5,0.06489758342504501,0.0016274944917533394,5,0.056116603314876556,0.0014258683135647166,5,0.05689461380243301,0.0009169460559730333,5,112.42336788561079,1.7088305552317054,5,36.37588207479566,0.21977852165743197,5,148.79924996040646,1.73445544762323,5,181.93462980019976,2.9591472812256474
hopper,independent,uniform,1,5,5,95.9151008605957,51.932995920758586,5,0.11467331200838089,0.0040318569180994275,5,0.11398293673992158,0.005747809754776866,5,0.11467331200838089,0.0040318569180994275,5,0.11398293673992158,0.005747809754776866,5,99.34536561939748,6.20476140699567,5,41.68333542320179,3.7882593609310846,5,141.02870104259927,9.910108777954427,5,177.68441711339983,12.576840426763399
hopper,independent,uniform,2,5,5,263.2240692138672,191.28851970018061,5,0.10251519978046417,0.0028788457130538626,5,0.10211851596832275,0.0028929396668508434,5,0.10251519978046417,0.0028788457130538626,5,0.10211851596832275,0.0028929396668508434,5,105.15605162040447,2.4875368685715444,5,42.4634422343981,2.491362828985116,5,147.61949385480256,4.732644026347686,5,187.80362744099693,4.488042307615792
hopper,independent,uniform,4,5,5,425.1135871887207,431.41086181737313,5,0.09135895669460296,0.003052373658520495,5,0.09137337058782577,0.003581296675224258,5,0.09135895669460296,0.003052373658520495,5,0.09137337058782577,0.003581296675224258,5,107.43369207339711,2.5226108141515025,5,40.14359357379144,2.6407889781463876,5,147.57728564718855,3.611418828237632,5,182.6820272342069,3.2028639212115992
hopper,independent,uniform,8,5,5,684.3990829467773,373.1036506806547,5,0.07973001748323441,0.0007923111889624946,5,0.08035988658666611,0.002034067965867974,5,0.07973001748323441,0.0007923111889624946,5,0.08035988658666611,0.002034067965867974,5,110.28143779280072,3.422493348734267,5,18.225611116399524,12.915525059039192,5,128.50704890920025,14.576050061060966,0,,
