environment,architecture,weighting,k,seed,reused,run_directory,reference_run,dataset,reward,reward_corrected,train_mse,held_out_mse,weighted_train_mse,weighted_held_out_mse,fit_seconds,evaluation_seconds,fit_and_evaluation_seconds,process_seconds
inverted_pendulum,shared,uniform,8,0,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,1000.0,False,0.0007767641800455749,0.0009077181457541883,0.0007767830393277109,0.0009077181457541883,34.72739367900067,32.44373470899882,67.17112838799949,
inverted_pendulum,shared,uniform,8,1,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,1000.0,False,0.000859010498970747,0.000988256186246872,0.0008590244688093662,0.000988256186246872,35.882207540998934,21.504892587996437,57.38710012899537,
inverted_pendulum,shared,uniform,8,2,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,613.7999877929688,False,0.0006803692667745054,0.0007512413430958986,0.0006804657750762999,0.0007512413430958986,34.69619442000112,22.430225065996638,57.12641948599776,
inverted_pendulum,shared,uniform,8,3,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,23.30000114440918,False,0.0008724123472347856,0.0009221103391610086,0.0008724123472347856,0.0009221103391610086,36.20121897901117,21.382570176996524,57.5837891560077,
inverted_pendulum,shared,uniform,8,4,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_uniform_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,24.899999618530273,False,0.0007203355780802667,0.0011201425222679973,0.0007200613617897034,0.0011201425222679973,34.63426209600584,22.78894329999457,57.42320539600041,
inverted_pendulum,shared,q_dagger,8,0,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,81.5,False,0.0031748053152114153,0.0028687897138297558,0.005759860388934612,0.031987544149160385,30.921023229995626,30.6406067309872,61.56162996098283,
inverted_pendulum,shared,q_dagger,8,1,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,90.20000457763672,False,0.00319746695458889,0.003219372360035777,0.0067833708599209785,0.014757825993001461,28.39248901499377,19.094438105996232,47.48692712099,
inverted_pendulum,shared,q_dagger,8,2,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,30.5,False,0.0019066057866439223,0.003724588081240654,0.005686527583748102,0.007076399400830269,33.60001489700517,19.175957571002073,52.77597246800724,
inverted_pendulum,shared,q_dagger,8,3,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,250.10000610351562,False,0.002887678798288107,0.0016423212364315987,0.005652581341564655,0.004676470533013344,31.576280916997348,20.50590737699531,52.08218829399266,
inverted_pendulum,shared,q_dagger,8,4,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_pendulum/ann_initial_q_dagger_k8_5seeds,distillation_experiments/artifacts/expert_datasets/expert_inverted_pendulum.npz,36.29999923706055,False,0.0018885944737121463,0.0019464557990431786,0.005462163593620062,0.019371189177036285,30.292219540002407,19.31983136299823,49.612050903000636,
inverted_double_pendulum,shared,uniform,8,0,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_double_pendulum/ann_teacher_bc_k8_5seeds_gpu,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_double_pendulum/ann_teacher_bc_k8_5seeds_gpu,distillation_experiments/artifacts/expert_datasets/expert_inverted_double_pendulum.npz,347.5858459472656,False,0.0003091014514211565,0.0005756370374001563,0.0003091014514211565,0.0005756370374001563,,,,
inverted_double_pendulum,shared,uniform,8,1,True,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_double_pendulum/ann_teacher_bc_k8_5seeds_gpu,distillation_experiments/artifacts/repertoires/cgp_feature_inverted_double_pendulum/ann_teacher_bc_k8_5seeds_gpu,distillation_experiments/artifacts/expert_datasets/expert_inverted_double_pendulum.npz,9359.1015625,False,0.0003316477232147008,0.00041276661795563996,0.0003316477232147008,0.00041276661795563996,,,,
