iteration,loss,reward,mixed_reward
0,-0.41521192,402.97897,9359.032
1,-0.47741112,1035.0594,9359.058
2,-0.46245787,998.35803,9358.729
3,-0.46410602,406.78195,9359.069
4,-0.46241367,898.9067,9359.136
5,-0.32708368,71.698326,2690.5837
6,-0.5384295,401.1563,9359.038
7,-0.49053758,132.46744,9359.882
8,-0.2870015,359.19943,2710.4421
9,-0.45711395,316.8925,9358.95
10,-0.39025152,99.612366,3633.614
11,-0.37969622,94.85127,812.22266
12,-0.5408956,118.335365,2382.6846
13,-0.7234583,338.95822,9358.942
14,-0.3522071,99.733925,4176.156
15,3.4028235e+38,82.08175,763.5317
16,3.4028235e+38,371.16138,9359.091
17,-0.3095388,127.038795,4087.8555
18,3.4028235e+38,406.7751,9358.77
19,-0.4427944,385.53354,6267.823
20,-0.78232634,882.14746,9359.073
21,-0.2020608,115.41851,2733.5095
22,3.4028235e+38,125.9219,2961.1814
23,3.4028235e+38,75.28745,626.40814
24,3.4028235e+38,148.24744,9359.889
25,-0.27627197,nan,nan
26,-0.45235994,nan,nan
27,3.4028235e+38,62.007576,152.09929
28,3.4028235e+38,105.97634,2147.1277
29,3.4028235e+38,97.68772,1254.1405
30,3.4028235e+38,80.717545,217.43774
31,3.4028235e+38,71.3428,216.916
32,3.4028235e+38,159.03833,639.73645
33,3.4028235e+38,71.51428,162.85025
