environment,weighting,model,seeds,finite_rewards,mean_reward,std_reward,min_reward,max_reward,mean_test_mse
Hopper,Q-DAgger,32×32 ANN,5,5,305.05726318359376,187.13934048822605,82.60087585449219,522.1867065429688,0.025649239867925645
Hopper,Q-DAgger,CGP features + LR (k=8),5,5,162.64143829345704,101.37018454128285,88.5869369506836,338.560302734375,0.08777963817119598
Hopper,Q-DAgger,Linear regression,5,5,1079.1697875976563,856.5539855191382,566.0142822265625,2602.773681640625,0.09661845415830612
Hopper,Q-DAgger,Multi-CGP + LR (8 features/action),5,5,308.6342712402344,208.1425595996902,146.98252868652344,672.6415405273438,0.07573021650314331
Hopper,Q-DAgger,Operon,5,5,326.3355880737305,251.70545866222287,37.1693115234375,621.74072265625,0.08054914871851603
Hopper,Uniform,32×32 ANN,5,5,607.13994140625,494.9779581028983,138.8553009033203,1324.3841552734375,0.027756118774414064
Hopper,Uniform,CGP features + LR (k=8),5,5,300.1262268066406,138.283489227027,232.7788848876953,547.3814697265625,0.09124378710985184
Hopper,Uniform,Linear regression,5,5,1130.111572265625,287.8485663613711,671.4091796875,1413.8623046875,0.09409076124429702
Hopper,Uniform,Multi-CGP + LR (8 features/action),5,5,684.3990829467773,373.1036506806547,100.19738006591797,1117.9085693359375,0.08035988658666611
Hopper,Uniform,Operon,5,5,510.20355834960935,299.33861532966904,195.85037231445312,925.7150268554688,0.08328959519664447
Inverted double pendulum,Q-DAgger,32×32 ANN,5,5,918.0757934570313,212.72375428880014,725.55224609375,1276.9775390625,0.0006173943460453301
Inverted double pendulum,Q-DAgger,CGP features + LR (k=8),5,5,2681.7579956054688,3419.1742722434283,700.212646484375,8762.6435546875,0.001032956363633275
Inverted double pendulum,Q-DAgger,Linear regression,5,5,9359.876953125,0.008199636534971622,9359.869140625,9359.888671875,0.0014815864386036992
Inverted double pendulum,Q-DAgger,Operon,5,5,4008.35625,801.0243615810065,3495.12158203125,5431.4658203125,0.0008374965866096318
Inverted double pendulum,Uniform,32×32 ANN,5,5,769.77041015625,54.29669150250461,699.2889404296875,835.0095825195312,0.000408179996884428
Inverted double pendulum,Uniform,CGP features + LR (k=8),5,5,5742.244891357422,4632.755203012344,347.5858459472656,9359.1015625,0.0004029136471217498
Inverted double pendulum,Uniform,Linear regression,5,5,9359.869921875,0.006191745111036303,9359.8623046875,9359.8779296875,0.0008200939977541566
Inverted double pendulum,Uniform,Operon,5,5,4081.833544921875,900.790906674788,2517.122802734375,4824.36328125,0.000815985185909085
Inverted pendulum,Q-DAgger,32×32 ANN,5,5,117.24000053405761,119.30433216771526,25.100000381469727,323.1000061035156,0.01508145546540618
Inverted pendulum,Q-DAgger,CGP features + LR (k=8),5,5,97.72000198364258,89.2051706530783,30.5,250.10000610351562,0.015573885850608348
Inverted pendulum,Q-DAgger,Linear regression,5,5,820.2400009155274,401.95557758818086,101.20000457763672,1000.0,0.03448453620076174
Inverted pendulum,Q-DAgger,Operon,5,5,1000.0,0.0,1000.0,1000.0,0.01446312079206109
Inverted pendulum,Uniform,32×32 ANN,5,5,756.2600028991699,414.47283032018356,43.10000228881836,1000.0,0.00030499676649924367
Inverted pendulum,Uniform,CGP features + LR (k=8),5,5,532.3999977111816,490.0674793420417,23.30000114440918,1000.0,0.0009378937073051929
Inverted pendulum,Uniform,Linear regression,5,5,1000.0,0.0,1000.0,1000.0,0.0023409608751534796
Inverted pendulum,Uniform,Operon,5,5,921.7,123.52408671995919,717.5,1000.0,0.002463366277515888
Walker2d,Q-DAgger,32×32 ANN,5,5,115.8020004272461,84.75892021136632,48.0869026184082,244.56607055664062,0.037513389438390735
Walker2d,Q-DAgger,CGP features + LR (k=8),5,5,25.8902090549469,22.482136240661678,-2.309870958328247,47.51908493041992,0.1443316489458084
Walker2d,Q-DAgger,Linear regression,5,5,101.5502212524414,47.39133517994455,49.641815185546875,166.56478881835938,0.15320950448513032
Walker2d,Q-DAgger,Multi-CGP + LR (8 features/action),5,5,123.3219181060791,80.43761828009326,4.501985549926758,203.310546875,0.10070896446704865
Walker2d,Q-DAgger,Operon,5,5,53.91087474822998,36.788071240485024,13.73375415802002,108.96581268310547,0.10517099872231483
Walker2d,Uniform,32×32 ANN,5,5,50.14744071960449,37.42659447263924,-2.4172115325927734,101.41401672363281,0.03982446938753128
Walker2d,Uniform,CGP features + LR (k=8),5,5,64.80364254713058,101.00926986632994,0.8587972521781921,242.1899871826172,0.15588903427124023
Walker2d,Uniform,Linear regression,5,5,90.08254699707031,46.993134169712114,48.37949752807617,167.08316040039062,0.15366891622543336
Walker2d,Uniform,Multi-CGP + LR (8 features/action),5,5,76.17385711669922,29.85278009816075,54.39809036254883,126.09111785888672,0.11483680754899979
Walker2d,Uniform,Operon,5,5,62.424983215332034,25.506103176280575,44.240474700927734,106.8931884765625,0.12191987310846646
