iteration,loss,reward,mixed_reward
0,-0.35320264,250.7,1000.0
1,-0.3127947,11.0,1000.0
2,-0.36019972,24.800001,21.0
3,-0.35981473,238.8,1000.0
4,-0.31227034,10.3,1000.0
5,-0.35453033,17.1,23.800001
6,-0.35802907,238.8,1000.0
7,-0.31335723,11.0,1000.0
8,-0.35456666,1000.0,1000.0
