environment_key,environment,model,weighting,seed,reward,train_mse,test_mse,reward_corrected
hopper,Hopper,Linear regression,Uniform,1,671.4091796875,0.09316922724246979,0.09021677821874619,False
hopper,Hopper,Linear regression,Uniform,2,1153.8095703125,0.09659741818904877,0.0993591845035553,False
hopper,Hopper,Linear regression,Uniform,3,1086.3558349609375,0.09600598365068436,0.09289491921663284,False
hopper,Hopper,Linear regression,Uniform,4,1413.8623046875,0.09538067877292633,0.09185813367366791,False
hopper,Hopper,Linear regression,Q-DAgger,0,761.9747924804688,0.09490317106246948,0.09949322044849396,False
hopper,Hopper,Linear regression,Q-DAgger,1,566.0142822265625,0.09410126507282257,0.09185434877872467,False
hopper,Hopper,Linear regression,Q-DAgger,2,2602.773681640625,0.09836523234844208,0.10110852867364883,False
hopper,Hopper,Linear regression,Q-DAgger,3,800.1031494140625,0.09655261039733887,0.09295244514942169,False
hopper,Hopper,Linear regression,Q-DAgger,4,664.9830322265625,0.09664404392242432,0.09768372774124146,False
hopper,Hopper,32×32 ANN,Uniform,0,657.6085815429688,0.026028772816061974,0.028145264834165573,False
hopper,Hopper,32×32 ANN,Q-DAgger,0,522.1867065429688,0.025737741962075233,0.027452345937490463,False
hopper,Hopper,32×32 ANN,Uniform,1,138.8553009033203,0.02618962712585926,0.02767234854400158,False
hopper,Hopper,32×32 ANN,Q-DAgger,1,82.60087585449219,0.022875087335705757,0.024165740236639977,False
hopper,Hopper,32×32 ANN,Uniform,2,1324.3841552734375,0.02528049238026142,0.02684018202126026,False
hopper,Hopper,32×32 ANN,Q-DAgger,2,447.2633972167969,0.02463618665933609,0.026171991601586342,False
hopper,Hopper,32×32 ANN,Uniform,3,772.7885131835938,0.02506697177886963,0.027323635295033455,False
hopper,Hopper,32×32 ANN,Q-DAgger,3,153.3651885986328,0.0255640409886837,0.027198968455195427,False
hopper,Hopper,32×32 ANN,Uniform,4,142.0631561279297,0.026911308988928795,0.028799163177609444,False
hopper,Hopper,32×32 ANN,Q-DAgger,4,319.8701477050781,0.02132410928606987,0.02325715310871601,False
hopper,Hopper,Operon,Uniform,0,925.7150268554688,,0.07957092300057411,False
hopper,Hopper,Operon,Q-DAgger,0,511.57666015625,,0.07805008937915166,False
hopper,Hopper,Operon,Uniform,1,370.2497253417969,,0.07733329633871715,False
hopper,Hopper,Operon,Q-DAgger,1,37.1693115234375,,0.07572221507628758,False
hopper,Hopper,Operon,Uniform,2,195.85037231445312,,0.08585454771916072,False
hopper,Hopper,Operon,Q-DAgger,2,621.74072265625,,0.07989372809727986,False
hopper,Hopper,Operon,Uniform,3,712.0939331054688,,0.08503160625696182,False
hopper,Hopper,Operon,Q-DAgger,3,352.8549499511719,,0.08355983098347981,False
hopper,Hopper,Operon,Uniform,4,347.1087341308594,,0.08865760266780853,False
hopper,Hopper,Operon,Q-DAgger,4,108.33629608154297,,0.08551988005638123,False
walker2d,Walker2d,Linear regression,Uniform,0,167.08316040039062,0.15207092463970184,0.15248499810695648,False
walker2d,Walker2d,Linear regression,Uniform,1,48.37949752807617,0.1552302986383438,0.15920084714889526,False
walker2d,Walker2d,Linear regression,Uniform,2,74.75345611572266,0.1528480350971222,0.1498056948184967,False
walker2d,Walker2d,Linear regression,Uniform,3,99.21412658691406,0.15155324339866638,0.15368184447288513,False
walker2d,Walker2d,Linear regression,Uniform,4,60.98249435424805,0.1508987694978714,0.15317119657993317,False
walker2d,Walker2d,Linear regression,Q-DAgger,0,166.56478881835938,0.1480283886194229,0.15325133502483368,False
walker2d,Walker2d,Linear regression,Q-DAgger,1,49.641815185546875,0.1522156000137329,0.16495007276535034,False
walker2d,Walker2d,Linear regression,Q-DAgger,2,100.98725891113281,0.14930470287799835,0.15077228844165802,False
walker2d,Walker2d,Linear regression,Q-DAgger,3,126.76985168457031,0.1455124020576477,0.14993180334568024,False
walker2d,Walker2d,Linear regression,Q-DAgger,4,63.787391662597656,0.1491628885269165,0.14714202284812927,False
walker2d,Walker2d,32×32 ANN,Uniform,0,54.46975326538086,0.03373504802584648,0.037759363651275635,False
walker2d,Walker2d,32×32 ANN,Q-DAgger,0,160.11428833007812,0.0326596163213253,0.03828711435198784,False
walker2d,Walker2d,32×32 ANN,Uniform,1,58.34202194213867,0.036325447261333466,0.03870164230465889,False
walker2d,Walker2d,32×32 ANN,Q-DAgger,1,244.56607055664062,0.037070903927087784,0.038764338940382004,False
walker2d,Walker2d,32×32 ANN,Uniform,2,101.41401672363281,0.03889143466949463,0.04145484417676926,False
walker2d,Walker2d,32×32 ANN,Q-DAgger,2,57.79682540893555,0.03180087357759476,0.038519810885190964,False
walker2d,Walker2d,32×32 ANN,Uniform,3,38.92862319946289,0.03848091512918472,0.04162795841693878,False
walker2d,Walker2d,32×32 ANN,Q-DAgger,3,68.44591522216797,0.0320429690182209,0.03967192396521568,False
walker2d,Walker2d,32×32 ANN,Uniform,4,-2.4172115325927734,0.040461305528879166,0.03957853838801384,False
walker2d,Walker2d,32×32 ANN,Q-DAgger,4,48.0869026184082,0.03338579088449478,0.03232375904917717,False
walker2d,Walker2d,Operon,Uniform,0,60.18757247924805,,0.12253913780053456,False
walker2d,Walker2d,Operon,Q-DAgger,0,57.65167236328125,,0.10493474826216698,False
walker2d,Walker2d,Operon,Uniform,1,106.8931884765625,,0.12039980664849281,False
walker2d,Walker2d,Operon,Q-DAgger,1,13.73375415802002,,0.10647238666812579,False
walker2d,Walker2d,Operon,Uniform,2,50.28013229370117,,0.1232867253323396,False
walker2d,Walker2d,Operon,Q-DAgger,2,27.55924415588379,,0.10047175611058871,False
walker2d,Walker2d,Operon,Uniform,3,50.5235481262207,,0.121614674727122,True
walker2d,Walker2d,Operon,Q-DAgger,3,108.96581268310547,,0.10140284275015195,False
walker2d,Walker2d,Operon,Uniform,4,44.240474700927734,,0.12175902103384335,False
walker2d,Walker2d,Operon,Q-DAgger,4,61.643890380859375,,0.11257325982054074,True
inverted_pendulum,Inverted pendulum,Linear regression,Uniform,0,1000.0,0.0021143273916095,0.002969606546685,False
inverted_pendulum,Inverted pendulum,Linear regression,Uniform,1,1000.0,0.0026004204992204,0.0025923014618456,False
inverted_pendulum,Inverted pendulum,Linear regression,Uniform,2,1000.0,0.0022261759731918,0.0019239278044551,False
inverted_pendulum,Inverted pendulum,Linear regression,Uniform,3,1000.0,0.0024109808728098,0.0020317249000072,False
inverted_pendulum,Inverted pendulum,Linear regression,Uniform,4,1000.0,0.0021862157154828,0.0021872436627745,False
inverted_pendulum,Inverted pendulum,Linear regression,Q-DAgger,0,1000.0,0.0282041039317846,0.0345692783594131,False
inverted_pendulum,Inverted pendulum,Linear regression,Q-DAgger,1,1000.0,0.0343005061149597,0.0260819233953952,False
inverted_pendulum,Inverted pendulum,Linear regression,Q-DAgger,2,1000.0,0.0233723539859056,0.0240527763962745,False
inverted_pendulum,Inverted pendulum,Linear regression,Q-DAgger,3,1000.0,0.0195961445569992,0.0474678613245487,False
inverted_pendulum,Inverted pendulum,Linear regression,Q-DAgger,4,101.20000457763672,0.0234325062483549,0.0402508415281772,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Uniform,0,1000.0,0.00025398083380423486,0.0005261253099888563,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Q-DAgger,0,25.100000381469727,0.02622866816818714,0.034248705953359604,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Uniform,1,1000.0,0.00020045088604092598,0.00021902100706938654,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Q-DAgger,1,69.5999984741211,0.010727129876613617,0.008179588243365288,False
inverted_pendulum,Inverted pendulum,32×32 ANN,Uniform,2,1000.0,0.00028128328267484903,0.0001981675741262734,False
