iteration,loss,reward,mixed_reward
0,-0.35414344,238.8,1000.0
1,-0.31231114,10.2,1000.0
2,-0.3556721,66.9,1000.0
3,-0.34470525,26.800001,1000.0
4,-0.34441426,42.9,24.6
5,-0.34895885,91.8,1000.0
6,-0.32839295,13.5,1000.0
7,-0.33085215,16.300001,70.8
8,-0.34430233,91.8,1000.0
9,-0.32608756,11.0,1000.0
10,-0.3533243,73.200005,1000.0
11,-0.3494368,8.0,1000.0
12,-0.36786407,238.8,1000.0
13,-0.31335723,11.0,1000.0
14,-0.3581256,908.3,1000.0
15,3.4028235e+38,3.0,8.650001
16,3.4028235e+38,1000.0,1000.0
