environment,weighting,architecture,seeds,finite_rewards,mean_reward,std_reward,mean_test_mse,mean_weighted_test_mse,mean_fit_seconds
Hopper,Q-DAgger,Eight features per action,5,5,308.6342712402344,208.1425595996902,0.08465782850980759,0.07573021650314331,109.5332304407988
Hopper,Q-DAgger,Shared eight features,5,5,162.64143829345704,101.37018454128285,0.09361973851919174,0.08777963817119598,36.41409279040236
Hopper,Uniform,Eight features per action,5,5,684.3990829467773,373.1036506806547,0.08035988658666611,0.08035988658666611,110.28143779280072
Hopper,Uniform,Shared eight features,5,5,300.1262268066406,138.283489227027,0.09124378710985184,0.09124378710985184,36.610919330996694
Walker2d,Q-DAgger,Eight features per action,5,5,123.3219181060791,80.43761828009326,0.1262617900967598,0.10070896446704865,194.71294187619932
Walker2d,Q-DAgger,Shared eight features,5,5,25.8902090549469,22.482136240661678,0.17079052031040193,0.1443316489458084,38.5948974828003
Walker2d,Uniform,Eight features per action,5,5,76.17385711669922,29.85278009816075,0.11483680754899979,0.11483680754899979,206.8544327851996
Walker2d,Uniform,Shared eight features,5,5,64.80364254713058,101.00926986632994,0.15588903427124023,0.15588903427124023,41.40405223180132
