iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.10522133,89.0,,,5000,5000,0
1,0.1632951,198.8,1000.0,0.5,10000,5000,5000
2,0.14117564,25.800001,1000.0,0.5,15000,5000,10000
3,0.14799662,72.4,1000.0,0.5,20000,5000,15000
4,0.13791206,89.9,1000.0,0.5,20000,5000,15000
5,0.13116929,87.8,1000.0,0.5,20000,5000,15000
6,0.1269449,105.0,1000.0,0.5,20000,5000,15000
7,0.12384311,105.0,1000.0,0.5,20000,5000,15000
8,0.121631265,102.700005,1000.0,0.5,20000,5000,15000
9,0.11998808,102.700005,1000.0,0.5,20000,5000,15000
