iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10499115,84.6,,,5000,5000,0,1.0,0.10267038,0.10955121,
1,0.15654089,187.5,1000.0,0.5,10000,5000,5000,1.0,0.15179431,0.18534373,0
2,0.1368013,241.7,1000.0,0.5,15000,5000,10000,1.0,0.12297622,0.16260186,0
3,0.129886,241.7,1000.0,0.5,20000,5000,15000,1.0,0.11804102,0.15134406,0
4,0.12336086,94.1,1000.0,0.5,20000,5000,15000,1.0,0.117239974,0.13723586,0
5,0.12938853,239.7,1000.0,0.5,20000,5000,15000,1.0,0.11651653,0.15398607,0
6,0.12567712,239.7,1000.0,0.5,20000,5000,15000,1.0,0.11408433,0.14755483,0
7,0.12193988,38.0,1000.0,0.5,20000,5000,15000,1.0,0.11426572,0.1365713,0
8,0.11988487,38.0,1000.0,0.5,20000,5000,15000,1.0,0.112863995,0.1331591,0
9,0.11836319,38.0,1000.0,0.5,20000,5000,15000,1.0,0.111882284,0.13053563,0
