param,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49
5.000000000000000000e-01,3.387564453125000000e+03,9.358183593750000000e+03,9.357972656250000000e+03,9.358288085937500000e+03,7.675079589843750000e+03,9.358437500000000000e+03,9.358456054687500000e+03,9.358002929687500000e+03,7.755056152343750000e+03,8.925053710937500000e+03,nan,nan,nan,nan,9.358955078125000000e+03,3.442083740234375000e+03,8.339241210937500000e+03,3.580289062500000000e+03,nan,nan,6.559593750000000000e+03,8.788968750000000000e+03,2.325837158203125000e+03,4.200931152343750000e+03,3.140432128906250000e+03,8.450143554687500000e+03,nan,6.601145507812500000e+03,nan,9.356592773437500000e+03,3.690510986328125000e+03,8.466350585937500000e+03,4.021692626953125000e+03,nan,9.356512695312500000e+03,3.138153076171875000e+03,nan,4.111767089843750000e+03,9.356409179687500000e+03,nan,6.399457031250000000e+03,6.038247070312500000e+03,4.389369628906250000e+03,9.304729492187500000e+03,nan,9.355698242187500000e+03,5.813667480468750000e+03,2.441210937500000000e+03,2.245838623046875000e+03,9.355423828125000000e+03
3.333333333333333148e-01,3.995955078125000000e+03,9.356948242187500000e+03,6.748409667968750000e+03,8.147671386718750000e+03,7.889162597656250000e+03,7.853915527343750000e+03,8.267558593750000000e+03,3.404035156250000000e+03,3.683228271484375000e+03,5.900153808593750000e+03,nan,nan,nan,nan,4.121067504882812500e+02,2.902470397949218750e+02,6.999361572265625000e+02,4.887780761718750000e+02,nan,nan,6.736532592773437500e+02,8.577906250000000000e+03,1.953564086914062500e+03,1.064915893554687500e+03,3.708907470703125000e+02,8.277277221679687500e+02,nan,1.993335327148437500e+03,nan,4.989622192382812500e+02,4.326078186035156250e+02,6.738707885742187500e+02,9.357804687500000000e+03,nan,4.814261779785156250e+02,4.268081054687500000e+02,nan,3.541007385253906250e+02,4.566540527343750000e+02,nan,7.377330322265625000e+02,2.189487304687500000e+02,2.095521087646484375e+02,1.030411621093750000e+03,nan,1.266004760742187500e+03,4.601343688964843750e+02,3.256666870117187500e+02,3.762394104003906250e+02,1.107069702148437500e+03
2.500000000000000000e-01,4.632537109375000000e+03,6.699401855468750000e+03,3.549892578125000000e+03,6.703651855468750000e+03,2.358517578125000000e+03,9.358861328125000000e+03,7.677335449218750000e+03,6.453218383789062500e+02,5.579321777343750000e+03,4.910198669433593750e+02,nan,nan,nan,nan,3.412219238281250000e+02,2.357872161865234375e+02,3.651649169921875000e+02,2.510691375732421875e+02,nan,nan,5.160560913085937500e+02,4.959710449218750000e+03,1.943043579101562500e+03,2.845161743164062500e+02,2.846579895019531250e+02,4.662522583007812500e+02,nan,6.533361206054687500e+02,nan,2.534033966064453125e+02,4.921380004882812500e+02,5.206919555664062500e+02,9.358698242187500000e+03,nan,6.027255249023437500e+02,3.164847106933593750e+02,nan,2.209947357177734375e+02,1.852776336669921875e+02,nan,4.566271972656250000e+02,1.629988403320312500e+02,1.779338836669921875e+02,2.642905883789062500e+02,nan,2.732945556640625000e+02,4.099053344726562500e+02,2.752959899902343750e+02,2.770798950195312500e+02,5.449132690429687500e+02
2.000000000000000111e-01,1.666143188476562500e+03,3.782708984375000000e+03,4.296630859375000000e+03,4.618500976562500000e+03,3.633938720703125000e+03,2.146724853515625000e+03,1.551717529296875000e+03,3.262350158691406250e+02,3.135506591796875000e+03,3.166723327636718750e+02,nan,nan,nan,nan,3.169897155761718750e+02,2.038878479003906250e+02,2.132501983642578125e+02,3.125953674316406250e+02,nan,nan,2.768186035156250000e+02,2.137937744140625000e+03,4.064266357421875000e+02,2.845820312500000000e+02,1.982421722412109375e+02,2.341500549316406250e+02,nan,3.415545959472656250e+02,nan,2.152605438232421875e+02,1.894058685302734375e+02,3.678530883789062500e+02,5.956480468750000000e+03,nan,2.622709045410156250e+02,2.042062988281250000e+02,nan,1.631233520507812500e+02,1.966373138427734375e+02,nan,2.734723205566406250e+02,1.276226806640625000e+02,1.463267669677734375e+02,2.564272460937500000e+02,nan,1.611004943847656250e+02,2.394575653076171875e+02,1.721717376708984375e+02,2.211298675537109375e+02,5.145763549804687500e+02
1.666666666666666574e-01,9.512606811523437500e+02,1.218814941406250000e+03,1.439700439453125000e+03,1.105647338867187500e+03,1.611581420898437500e+03,3.358999755859375000e+03,8.424494018554687500e+02,2.907759704589843750e+02,1.127333374023437500e+03,2.511027832031250000e+02,nan,nan,nan,nan,3.057867126464843750e+02,1.928624267578125000e+02,2.245580596923828125e+02,1.816079254150390625e+02,nan,nan,1.724576416015625000e+02,8.930494384765625000e+02,7.266381835937500000e+02,2.713317565917968750e+02,1.761390228271484375e+02,2.434980926513671875e+02,nan,2.507058105468750000e+02,nan,2.076908264160156250e+02,2.376541595458984375e+02,2.248480072021484375e+02,3.392701171875000000e+03,nan,3.090953674316406250e+02,2.416696777343750000e+02,nan,1.668467559814453125e+02,1.573404388427734375e+02,nan,2.301245574951171875e+02,1.331943359375000000e+02,1.276279830932617188e+02,1.965348358154296875e+02,nan,1.481257781982421875e+02,1.796174163818359375e+02,1.665235290527343750e+02,1.667539978027343750e+02,3.988636779785156250e+02
1.428571428571428492e-01,1.181635498046875000e+03,1.290248291015625000e+03,1.192389526367187500e+03,1.483911010742187500e+03,1.287972412109375000e+03,1.338559814453125000e+03,1.140381225585937500e+03,2.926882629394531250e+02,1.166260864257812500e+03,2.282207489013671875e+02,nan,nan,nan,nan,2.887620849609375000e+02,1.871307983398437500e+02,2.058925781250000000e+02,1.928461608886718750e+02,nan,nan,1.819826660156250000e+02,1.022413085937500000e+03,3.298771362304687500e+02,2.358949279785156250e+02,1.464438781738281250e+02,1.668519287109375000e+02,nan,2.040817108154296875e+02,nan,1.722821502685546875e+02,1.577273406982421875e+02,1.947211914062500000e+02,9.810994262695312500e+02,nan,3.444617614746093750e+02,2.042143402099609375e+02,nan,1.406510314941406250e+02,1.575109100341796875e+02,nan,1.853333587646484375e+02,1.370083312988281250e+02,1.256767807006835938e+02,1.667896728515625000e+02,nan,1.425634918212890625e+02,2.435320129394531250e+02,1.535895538330078125e+02,1.649721527099609375e+02,5.053291625976562500e+02
1.250000000000000000e-01,8.501115112304687500e+02,8.295650634765625000e+02,8.309328002929687500e+02,1.257806518554687500e+03,1.172081909179687500e+03,9.232278442382812500e+02,7.939669189453125000e+02,2.832993774414062500e+02,9.042758789062500000e+02,1.983754119873046875e+02,nan,nan,nan,nan,2.906087341308593750e+02,1.984553222656250000e+02,1.927698822021484375e+02,2.172960510253906250e+02,nan,nan,1.594869995117187500e+02,7.134688720703125000e+02,3.334699401855468750e+02,2.473229980468750000e+02,1.258756103515625000e+02,2.191015167236328125e+02,nan,1.835304718017578125e+02,nan,1.759969482421875000e+02,1.445760345458984375e+02,2.097851867675781250e+02,5.561892700195312500e+02,nan,2.077973632812500000e+02,1.705388031005859375e+02,nan,1.462531738281250000e+02,1.313579864501953125e+02,nan,2.191085662841796875e+02,1.258362579345703125e+02,1.350807952880859375e+02,1.461479339599609375e+02,nan,1.426395263671875000e+02,1.929159088134765625e+02,1.350006866455078125e+02,1.669004974365234375e+02,3.559789733886718750e+02
1.111111111111111049e-01,6.144415893554687500e+02,7.360047607421875000e+02,7.734053955078125000e+02,8.463283081054687500e+02,5.713715209960937500e+02,8.801534423828125000e+02,8.464552001953125000e+02,2.776825866699218750e+02,9.042218627929687500e+02,1.799038085937500000e+02,nan,nan,nan,nan,2.721987304687500000e+02,1.870161743164062500e+02,2.043387451171875000e+02,1.630385589599609375e+02,nan,nan,1.539859924316406250e+02,4.756708679199218750e+02,2.754063415527343750e+02,2.378882904052734375e+02,1.201128921508789062e+02,1.875119476318359375e+02,nan,1.443654479980468750e+02,nan,1.556850585937500000e+02,1.483789062500000000e+02,1.668935852050781250e+02,4.684810485839843750e+02,nan,2.021229095458984375e+02,1.669776611328125000e+02,nan,1.219778442382812500e+02,1.520123748779296875e+02,nan,2.266137695312500000e+02,1.277992706298828125e+02,1.314071960449218750e+02,1.518365325927734375e+02,nan,1.257377090454101562e+02,1.929067687988281250e+02,1.349094696044921875e+02,1.705902862548828125e+02,3.632088928222656250e+02
1.000000000000000056e-01,7.809515991210937500e+02,8.633004760742187500e+02,8.575316772460937500e+02,7.546303100585937500e+02,6.329384155273437500e+02,7.587492675781250000e+02,8.371583251953125000e+02,2.362252960205078125e+02,5.919350585937500000e+02,1.536901855468750000e+02,nan,nan,nan,nan,2.776385192871093750e+02,1.834492645263671875e+02,1.760451812744140625e+02,1.743413085937500000e+02,nan,nan,1.501910552978515625e+02,6.497868652343750000e+02,3.689751892089843750e+02,2.358647460937500000e+02,1.127521286010742188e+02,1.819146728515625000e+02,nan,1.331921234130859375e+02,nan,1.517701416015625000e+02,1.371295166015625000e+02,1.949087982177734375e+02,5.281943359375000000e+02,nan,2.413751983642578125e+02,1.574427337646484375e+02,nan,1.409109497070312500e+02,1.315284271240234375e+02,nan,1.724670867919921875e+02,1.201569366455078125e+02,1.071767120361328125e+02,1.351307220458984375e+02,nan,1.293258514404296875e+02,1.460317840576171875e+02,1.480049133300781250e+02,1.651933593750000000e+02,3.363714904785156250e+02
0.000000000000000000e+00,4.761501159667968750e+02,4.310009460449218750e+02,4.180555114746093750e+02,4.068226013183593750e+02,4.553932800292968750e+02,4.275110473632812500e+02,3.843566589355468750e+02,1.908881835937500000e+02,4.160586547851562500e+02,1.370390472412109375e+02,nan,nan,nan,nan,2.059501190185546875e+02,1.628352813720703125e+02,1.706394805908203125e+02,1.426650238037109375e+02,nan,nan,1.165863037109375000e+02,3.599086303710937500e+02,2.604963989257812500e+02,2.134118652343750000e+02,1.054174728393554688e+02,1.279239044189453125e+02,nan,1.239197540283203125e+02,nan,1.276907730102539062e+02,1.090112457275390625e+02,1.314691162109375000e+02,3.616387939453125000e+02,nan,1.891358642578125000e+02,1.464528045654296875e+02,nan,1.090771408081054688e+02,1.128230209350585938e+02,nan,1.669479522705078125e+02,9.976793670654296875e+01,9.977355194091796875e+01,1.092652359008789062e+02,nan,1.090491867065429688e+02,1.500059356689453125e+02,1.183000259399414062e+02,1.315959930419921875e+02,3.407762756347656250e+02
