iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,368.70916748046875,0.06466514617204666,0.062126513570547104,0.07743045687675476,0.07601691037416458,8000,98.02308226597961,,0,8000
1,542.4854125976562,0.08610520511865616,0.08150900155305862,0.1036946177482605,0.09143977612257004,10909,102.22860723501071,371.7808532714844,0,2909
2,935.9561767578125,0.14379175007343292,0.09632954746484756,0.15927791595458984,0.10589026659727097,14923,103.68760365300113,502.5873107910156,0,4014
3,304.7317810058594,0.16885197162628174,0.10269414633512497,0.19109401106834412,0.11080420762300491,20969,108.68107246997533,910.1314697265625,0,6046
4,369.1122741699219,0.18618354201316833,0.11300056427717209,0.2167835235595703,0.11854670196771622,23611,109.52040087000933,338.173828125,0,2642
5,872.7472534179688,0.18550674617290497,0.12612377107143402,0.21700499951839447,0.13050033152103424,26879,113.38337746798061,370.0123596191406,0,3268
6,836.0099487304688,0.1947689950466156,0.12088936567306519,0.21249113976955414,0.12383323907852173,33041,114.51138776302105,891.3197631835938,0,6162
7,2052.726806640625,0.1987927109003067,0.13755854964256287,0.22909453511238098,0.14795780181884766,38562,119.55002101400169,852.1060791015625,0,5521
8,1199.750732421875,0.20959529280662537,0.1369304358959198,0.2394605576992035,0.14501860737800598,50407,129.2246840519947,1972.0621337890625,0,11845
9,234.85659790039062,0.20762796700000763,0.1338607370853424,0.2355673909187317,0.13976523280143738,57661,133.70787275396287,1221.0823974609375,0,7254
