iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.105278715,60.3,,,5000,5000,0,1.0,0.10285414,0.110243194,
1,0.14260907,250.5,1000.0,0.5,10000,5000,5000,1.0,0.12443327,0.17707084,0
2,0.13177834,250.5,1000.0,0.5,15000,5000,10000,1.0,0.11711104,0.15830016,0
3,0.12571806,168.7,1000.0,0.5,20000,5000,15000,1.0,0.1170877,0.1436168,0
4,0.12025235,206.0,1000.0,0.5,20000,5000,15000,1.0,0.11201691,0.13566072,0
5,0.11774017,206.0,1000.0,0.5,20000,5000,15000,1.0,0.11047005,0.13113733,0
6,0.11581191,62.3,1000.0,0.5,20000,5000,15000,1.0,0.11076339,0.12641709,0
7,0.11308972,61.100002,1000.0,0.5,20000,5000,15000,1.0,0.10857023,0.12260822,0
8,0.11212354,112.700005,1000.0,0.5,20000,5000,15000,1.0,0.107782364,0.12082713,0
9,0.11137628,62.100002,1000.0,0.5,20000,5000,15000,1.0,0.107236184,0.1198363,0
