iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0003986943338532001,4957.9931640625,,8000,8000,10000,,
1,0.006401802878826857,5738.3203125,5366.8134765625,19498,10000,11498,20,0
2,0.008050440810620785,1257.2252197265625,5423.68115234375,31119,10000,11621,20,0
3,0.0037748145405203104,855.7593994140625,1291.8563232421875,33909,10000,2790,20,0
4,0.0021614455617964268,1719.2275390625,856.2550659179688,35770,10000,1861,20,0
5,0.004352153744548559,1048.3865966796875,1735.666259765625,39510,10000,3740,20,0
6,0.00444102892652154,1025.8531494140625,1065.6591796875,41825,10000,2315,20,0
7,0.0026677551213651896,1089.5003662109375,1050.8033447265625,44109,10000,2284,20,0
8,0.0022464715875685215,1359.126953125,1087.1458740234375,46462,10000,2353,20,0
9,0.00280343578197062,1035.7772216796875,1328.7498779296875,49331,10000,2869,20,0
