iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0009397286339662969,3596.749267578125,,8000,8000,10000,,
1,0.005474140401929617,175.9337921142578,4434.60107421875,17502,10000,9502,20,0
2,0.004675550851970911,276.1380310058594,169.3916015625,17892,10000,390,20,0
3,0.005636729300022125,267.7892761230469,280.90985107421875,18520,10000,628,20,0
4,0.011253604665398598,816.5079345703125,266.3348693847656,19117,10000,597,20,0
5,0.016478992998600006,222.5514678955078,823.19921875,20909,10000,1792,20,0
6,0.009303606115281582,722.687255859375,221.5092315673828,21409,10000,500,20,0
7,0.006932327523827553,265.6697692871094,729.021484375,23003,10000,1594,20,0
8,0.005707793403416872,304.4659729003906,266.1994323730469,23598,10000,595,20,0
9,0.004846702795475721,409.58282470703125,303.582763671875,24274,10000,676,20,0
