iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.108401895,100.0,,,5000,5000,0,0,1.0,0.10790573,0.11193445,,2,10,,,
1,0.1096171,74.5999984741211,1000.0,0.8,15000,5000,9954,46,1.0,0.109113775,0.11372665,0,7,10,0,100.0,0.8
2,0.11219371,62.29999923706055,1000.0,0.7000000000000001,16409,5000,11250,159,1.0,0.11031816,0.118804134,0,3,10,0,100.0,0.7000000000000001
3,0.13713568,58.70000076293945,1000.0,0.6000000000000001,17589,5000,11250,1339,1.0,0.123115554,0.1679564,0,2,10,0,100.0,0.6000000000000001
4,0.16356695,184.8000030517578,1000.0,0.5,19798,5000,11250,3548,1.0,0.14580582,0.20436575,0,1,10,0,100.0,0.5
5,0.15183666,241.60000610351562,1000.0,0.4,19900,5000,11250,3650,1.0,0.13050221,0.1995419,0,1,10,4,184.8000030517578,0.4
6,0.15308422,241.60000610351562,1000.0,0.30000000000000004,20000,5000,11250,3750,1.0,0.15731707,0.19243924,0,1,10,5,241.60000610351562,0.30000000000000004
7,0.14971812,233.10000610351562,1000.0,0.19999999999999996,20000,5000,11250,3750,1.0,0.14769393,0.1852793,0,1,10,5,241.60000610351562,0.19999999999999996
8,0.14808215,258.20001220703125,1000.0,0.09999999999999998,20000,5000,11250,3750,1.0,0.14054336,0.18740648,0,3,10,5,241.60000610351562,0.09999999999999998
9,0.16035765,258.20001220703125,231.6,0.0,20000,5000,11250,3750,1.0,0.1737682,0.19771436,0,8,10,8,258.20001220703125,0.0
10,0.17140536,255.3000030517578,245.2,0.0,20000,5000,11250,3750,1.0,0.21169549,0.20009574,0,1,10,8,258.20001220703125,0.0
11,0.18066436,255.3000030517578,192.1,0.0,20000,5000,11250,3750,1.0,0.2419919,0.207878,0,1,10,8,258.20001220703125,0.0
12,0.180846,231.10000610351562,246.2,0.0,20000,5000,11250,3750,1.0,0.19832695,0.23956802,0,2,10,8,258.20001220703125,0.0
13,0.1794129,207.6999969482422,229.1,0.0,20000,5000,11250,3750,1.0,0.17164485,0.24071775,0,9,10,8,258.20001220703125,0.0
14,0.17007826,196.40000915527344,224.8,0.0,20000,5000,11250,3750,1.0,0.16277646,0.22348817,0,1,10,8,258.20001220703125,0.0
