iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.09324069072802861,269.3205261230469,,8000,8000,10000,,
1,0.11628380169471104,163.2345733642578,264.7140808105469,10747,10000,2747,20,0
2,0.10828808695077896,939.9796752929688,163.53543090820312,12360,10000,1613,20,0
3,0.11619865397612254,549.8536987304688,835.1787109375,18841,10000,6481,20,0
4,0.11647157122691472,530.4960327148438,522.608154296875,22217,10000,3376,20,0
5,0.1294258087873459,341.592529296875,536.3485107421875,26054,10000,3837,20,0
6,0.12900134921073914,303.0896911621094,344.4416198730469,28799,10000,2745,20,0
7,0.12255517890055974,159.09500122070312,252.55996704101562,31086,10000,2287,20,0
8,0.12823903063933054,336.7610778808594,159.6992645263672,32657,10000,1571,20,0
9,0.1256860469778379,521.5422973632812,335.6796875,35594,10000,2937,20,0
