iteration,best_fitness,best_cumulative_reward,cumulative_reward_of_best,beta,evaluation_time
0,276.7444,221.69934,-4.161635,0.6,29.612287443999776
1,269.90146,250.43034,-4.823657,0.6,6.5040704349994485
2,314.10568,228.14806,131.74841,0.6,6.376350294999611
3,295.99194,232.3525,1.6742744,0.6,6.375476101999993
4,409.74966,204.38599,15.769477,0.6,6.376593186999344
5,396.05258,229.12544,20.939795,0.6,6.396199040000283
6,297.03418,235.2001,-4.805164,0.6,6.396354330000577
7,445.11505,170.0196,19.644014,0.6,6.378140511999845
8,439.7421,231.51302,17.285301,0.6,6.3988483050006835
9,436.76886,157.57555,14.7173815,0.6,6.399584879000031
10,396.8428,171.83473,25.311811,0.6,6.409617754000465
11,437.9522,212.52013,24.269346,0.6,6.398314598999605
12,421.75723,131.16649,18.80292,0.6,6.370850846000394
13,452.57755,219.44261,-4.915117,0.6,6.4106544200003555
14,401.73724,257.367,28.979462,0.6,6.419730769000125
15,550.5955,249.44041,14.5897875,0.6,6.411768878000657
16,648.2036,238.67886,14.236793,0.6,6.403695592000076
17,520.2094,211.31497,14.327329,0.6,6.433504159000222
18,444.84503,269.49338,-6.493268,0.6,6.42442881199986
19,446.54092,166.35588,-8.226192,0.6,6.415125743999852
20,446.34058,105.895485,2.5166109,0.6,6.412947754000015
21,401.3588,56.822643,-3.660045,0.6,6.39248170800056
22,394.64557,156.12201,-0.58191526,0.6,6.408890091000103
23,418.45377,141.91391,-4.0777802,0.6,6.3800672480001595
24,428.20215,132.36804,-6.4608064,0.6,6.426509135999368
25,443.18668,187.8958,-4.8243637,0.6,6.449403272999916
26,403.94656,165.77817,-2.7100399,0.6,6.466191167000034
27,464.7408,127.49941,-1.4395179,0.6,6.433234502999767
28,437.59186,174.49236,-3.6856363,0.6,6.427551490000042
29,467.09894,170.83228,-0.88707274,0.6,6.447270000999197
30,463.705,124.42422,-2.5283573,0.6,6.451315751999573
31,426.37735,176.36931,-6.812188,0.6,6.417063687999871
32,403.2108,161.87614,-3.4945767,0.6,6.469282217999535
33,414.5515,231.69426,-4.6472254,0.6,6.42097900600038
34,417.76065,188.14265,-5.2612686,0.6,6.463364197999908
35,425.47354,111.67393,-6.7039995,0.6,6.426835416999893
36,416.796,124.12791,-13.603641,0.6,6.416167293000399
37,432.28293,155.51804,-5.818058,0.6,6.44546022799932
38,460.32843,207.70152,-4.1042337,0.6,6.446042115000637
39,416.77237,85.83691,-1.5991834,0.6,6.4716232440005115
40,393.702,226.54851,-0.77743894,0.6,6.449299062999671
41,452.56436,197.71745,-3.5563385,0.6,6.470025410999369
42,530.2811,182.3363,-8.187138,0.6,6.459143820999998
43,488.83932,184.43907,-5.269632,0.6,6.459434999999758
44,496.04327,98.91897,-6.989381,0.6,6.46277126699988
45,402.53598,131.61246,-7.6531496,0.6,6.453482195000106
46,450.5388,178.86418,-3.0409417,0.6,6.4493344530001195
47,494.88092,129.48299,-7.489218,0.6,6.449433349000174
