iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.10538176,71.700005,,,5000,5000,0
1,0.15682621,179.40001,1000.0,0.5,10000,5000,5000
2,0.13153823,228.0,1000.0,0.5,15000,5000,10000
3,0.12565443,228.1,1000.0,0.5,20000,5000,15000
4,0.121333554,228.1,1000.0,0.5,20000,5000,15000
5,0.11833966,181.8,1000.0,0.5,20000,5000,15000
6,0.11623998,184.0,1000.0,0.5,20000,5000,15000
7,0.115177326,755.2,1000.0,0.5,20000,5000,15000
8,0.115268745,754.8,1000.0,0.5,20000,5000,15000
9,0.1153523,754.8,1000.0,0.5,20000,5000,15000
