iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,317.79156494140625,0.06415174156427383,0.0647883415222168,0.0726679265499115,0.07031670212745667,8000,96.38122484000633,,0,8000
1,966.8998413085938,0.06989143788814545,0.07518699020147324,0.09033408015966415,0.08016283810138702,10387,101.84587651101174,317.94976806640625,0,2387
2,316.9434509277344,0.15868690609931946,0.11263680458068848,0.1871805638074875,0.12143955379724503,17527,108.01736906397855,930.6819458007812,0,7140
3,584.48974609375,0.16257230937480927,0.11063884198665619,0.19535627961158752,0.11294090747833252,20358,109.58718059799867,317.5896911621094,0,2831
4,688.4710693359375,0.19497047364711761,0.12116555124521255,0.2120099663734436,0.11742690205574036,25254,113.37149923597462,591.4135131835938,0,4896
5,326.7254943847656,0.21239733695983887,0.12739504873752594,0.2288481742143631,0.13275927305221558,30002,111.35584646899952,734.3575439453125,0,4748
6,776.4088745117188,0.2070588320493698,0.13216744363307953,0.2277376800775528,0.13360437750816345,32888,117.4333650089684,327.9537048339844,0,2886
7,694.54736328125,0.217403382062912,0.12363026291131973,0.2439347356557846,0.1325751096010208,37586,118.84415030502714,707.8973999023438,0,4698
8,1016.4506225585938,0.2173168808221817,0.12000025808811188,0.23912423849105835,0.1247917115688324,41989,123.30122715898324,707.6405639648438,0,4403
9,3054.328125,0.2174292951822281,0.13864962756633759,0.2470559924840927,0.14710459113121033,48373,127.83244349103188,1009.9586181640625,0,6384
