action_index,generation,best_loss,median_loss,candidate_count
0,0,0.12584635615348816,0.14883127808570862,5
0,1,0.11275406181812286,0.15244433283805847,9
0,2,0.11275406181812286,0.14227402210235596,6
0,3,0.10219589620828629,0.13023430854082108,8
0,4,0.10156983137130737,0.12243501842021942,10
0,5,0.09912673383951187,0.12243501842021942,10
0,6,0.07709753513336182,0.13806352764368057,6
0,7,0.07115783542394638,0.1342070996761322,9
0,8,0.06475283205509186,0.09115463867783546,8
0,9,0.06475283205509186,0.09027469530701637,10
