iteration,best_loss,median_loss,candidate_count
0,0.0029440003,0.00343991585,14
1,0.0028907952,0.0032003713,20
2,0.0027880266,0.0031873046,22
3,0.0027069144,0.0032177262,17
4,0.0025712524,0.003212109,19
5,0.002549807,0.0031886336,21
6,0.0025485582,0.0031886336,21
7,0.002547836,0.0031886336,21
8,0.0025443407,0.0031886336,21
9,0.0025418485,0.0031886336,21
10,0.0025415535,0.0032003713,20
11,0.0025415535,0.0032003713,20
12,0.0025415402,0.0032003713,20
13,0.0025415202,0.0032003713,20
14,0.0025415174,0.0032003713,20
15,0.0025273126,0.0032003713,20
16,0.0025034759,0.0032003713,20
17,0.0025015613,0.0032003713,20
18,0.0025015613,0.0032003713,20
19,0.002501561,0.0032003713,20
20,0.002501561,0.0032003713,20
21,0.002501561,0.0032003713,20
22,0.002501561,0.0032003713,20
23,0.002501561,0.0032003713,20
24,0.002501561,0.0032003713,20
25,0.002501561,0.0032003713,20
26,0.0025007671,0.0032003713,20
27,0.0025007671,0.0032003713,20
28,0.0025007671,0.0032003713,20
29,0.0025007671,0.0032003713,20
30,0.0025007671,0.0032003713,20
31,0.0025007671,0.0032003713,20
32,0.0025007671,0.0032003713,20
33,0.0025007671,0.0032003713,20
34,0.0025007671,0.0032003713,20
35,0.0025007671,0.0032003713,20
36,0.0025007671,0.0032003713,20
37,0.0025004945,0.0032003713,20
38,0.0025004598,0.0032003713,20
39,0.0025004598,0.0032003713,20
