iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0007991539896465838,4690.638671875,,8000,8000,10000,,
1,0.0038255411200225353,290.2616271972656,3535.84375,15584,10000,7584,20,0
2,0.005309002008289099,658.45654296875,273.43389892578125,16196,10000,612,20,0
3,0.0033590432722121477,337.8816833496094,680.1517944335938,17680,10000,1484,20,0
4,0.0029209901113063097,369.69720458984375,334.6874084472656,18421,10000,741,20,0
5,0.0024218636099249125,452.74151611328125,370.189453125,19238,10000,817,20,0
6,0.0028490941040217876,748.0731811523438,447.0301208496094,20220,10000,982,20,0
7,0.0032938076183199883,908.7578125,711.970703125,21772,10000,1552,20,0
8,0.0027482318691909313,2608.6591796875,923.2254028320312,23778,10000,2006,20,0
9,0.010656842030584812,242.286865234375,2667.57080078125,29508,10000,5730,20,0
