seed,last_iteration,final_reward,best_observed_reward,best_observed_iteration,dataset_size,uniform_BC_reward,Q_weighted_bootstrap_reward,final_solved_9350,final_solved_9359
0,9,4098.88525390625,8055.9921875,3,75735,347.5858459472656,1280.0225830078125,False,False
1,4,9359.7548828125,9359.7548828125,4,18551,9359.1015625,1142.81640625,True,True
2,9,4417.859375,7920.98974609375,5,75768,8628.6982421875,997.5992431640624,False,False
3,0,9359.57421875,9359.57421875,0,8000,9354.423828125,9359.57421875,True,True
4,9,3409.507080078125,8987.2177734375,4,59790,1021.4149780273438,877.1666870117188,False,False
