iteration,student_reward,train_weighted_mse,train_mse,validation_weighted_mse,validation_mse,dataset_size,fit_seconds,weight_effective_sample_size,behavior_reward,invalid_transitions,new_samples,seed
0,1280.0225830078125,0.0004933780292049,0.0003591226413846,0.0009034073445945,0.0005716030136682,8000,41.330447079002624,6557.955078125,,0,8000,0
1,723.8792724609375,0.0514044761657714,0.0393882393836975,0.0067550963722169,0.0048438133671879,10370,36.53602915300871,1510.356201171875,1095.4835205078125,0,2370,0
2,2141.841552734375,0.0421811752021312,0.0592189207673072,0.002987892832607,0.0024546559434384,12081,37.941266103007365,1220.8306884765625,783.6163940429688,0,1711,0
3,8055.9921875,0.0762748569250106,0.1270425468683242,0.0032805395312607,0.0025699469260871,17353,39.45197906899557,1917.5555419921875,2453.293701171875,0,5272,0
4,3060.538818359375,0.0730410814285278,0.1420920938253402,0.0123329032212495,0.0108499517664313,34937,37.99263573999633,5439.921875,8217.0849609375,0,17584,0
5,4471.5107421875,0.0740631073713302,0.1330770254135131,0.0067769661545753,0.0062150508165359,41487,41.85521878000873,7216.43310546875,3051.136474609375,0,6550,0
6,3763.739990234375,0.0791683048009872,0.1461380869150161,0.0051032495684921,0.0047947191633284,51589,42.55258981799125,10820.5673828125,4712.291015625,0,10102,0
7,4018.82666015625,0.0755433365702629,0.1397583484649658,0.0041593974456191,0.0038978864904493,59772,45.02862489799736,13595.8076171875,3814.706298828125,0,8183,0
8,3549.498779296875,0.0646319165825843,0.1367777585983276,0.0117352912202477,0.011607308872044,68157,44.107293881999794,16775.3125,3909.858154296875,0,8385,0
9,4098.88525390625,0.0639997199177742,0.1303607076406479,0.0058753583580255,0.0056619308888912,75735,42.92257704900112,20936.109375,3531.692138671875,0,7578,0
0,1142.81640625,0.0006375822122208,0.0004482126096263,0.0010916118044406,0.0005004205740988,8000,37.7446408179967,6861.1826171875,,0,8000,1
1,1315.2724609375,0.0377393588423728,0.0349809117615222,0.0089792665094137,0.0089932354167103,10246,35.38732349900238,1069.27880859375,1038.1624755859375,0,2246,1
2,1019.4153442382812,0.0772384405136108,0.0780669078230857,0.0133341755717992,0.0117704793810844,13060,39.050464963002014,2105.75390625,1301.475830078125,0,2814,1
3,1567.6556396484375,0.0905484855175018,0.0884055718779563,0.0076477094553411,0.0071247685700654,15253,34.14379572799953,2897.12841796875,1012.4240112304688,0,2193,1
4,9359.7548828125,0.1332370042800903,0.1546403020620346,0.0133296558633446,0.0120416264981031,18551,39.58068589300092,3970.012939453125,1529.2855224609375,0,3298,1
0,997.5992431640624,0.0005265551735647,0.0004649268521461,0.0008417449425905,0.0007099476642906,8000,38.19899868000357,6916.41552734375,,0,8000,2
1,416.7490234375,0.0400678031146526,0.0448498725891113,0.0287580341100692,0.0203086026012897,9992,34.777333749996615,1105.2789306640625,917.79833984375,0,1992,2
2,2252.459716796875,0.0393642447888851,0.042855430394411,0.0094021270051598,0.0075848549604415,10924,35.56187418999616,1148.2569580078125,422.3088073730469,0,932,2
3,2307.23876953125,0.0530036874115467,0.0824998691678047,0.0216784551739692,0.0174664892256259,15863,35.43623849800497,3153.68505859375,2296.084228515625,0,4939,2
4,2855.354248046875,0.0702452957630157,0.128047913312912,0.042474091053009,0.0429846979677677,21716,41.26285744800407,4998.70361328125,2723.31005859375,0,5853,2
5,7920.98974609375,0.0711452588438987,0.1179050654172897,0.0060492786578834,0.0029527151491492,28154,34.66635145001055,7381.8212890625,2998.577392578125,0,6438,2
6,6726.44091796875,0.0637229457497596,0.1099985390901565,0.0108833033591508,0.006193371489644,45176,37.7455294149986,17719.916015625,7950.99560546875,0,17022,2
7,3803.332763671875,0.055078949779272,0.1011270806193351,0.013813535682857,0.0127308554947376,59704,44.29237849799392,26329.70703125,6783.5,0,14528,2
8,3573.07666015625,0.0535572282969951,0.1083464473485946,0.0429765731096267,0.0431443937122821,67843,45.35538066200388,31107.103515625,3794.548095703125,0,8139,2
9,4417.859375,0.0481530241668224,0.1048505380749702,0.0272080805152654,0.025254962965846,75768,47.238759886997286,35772.546875,3694.219482421875,0,7925,2
0,9359.57421875,0.0007253612275235,0.0005626864149235,0.0014113730285316,0.000463528354885,8000,30.801506719988534,6745.3369140625,,0,8000,3
0,877.1666870117188,0.0006346662994474,0.000514723942615,0.0005891315522603,0.0004552368482109,8000,31.75716402400576,6540.38623046875,,0,8000,4
1,1502.6005859375,0.0538269579410553,0.0471290498971939,0.0044882888905704,0.0037995574530214,9887,39.7522766609909,865.27685546875,869.1879272460938,0,1887,4
2,950.4164428710938,0.0675108507275581,0.0832546427845954,0.0166729185730218,0.0161335673183202,13149,40.38576119700156,2145.2236328125,1512.1212158203125,0,3262,4
3,2271.389404296875,0.094293937087059,0.1157919839024543,0.0513749383389949,0.0506603643298149,15110,41.01793535800243,3088.62353515625,904.9627075195312,0,1961,4
4,8987.2177734375,0.095365509390831,0.1077395007014274,0.0028680940158665,0.0024795960634946,19496,41.41989628301235,5335.828125,2034.7137451171875,0,4386,4
5,1749.5838623046875,0.0456931143999099,0.098027653992176,0.021617067977786,0.0209536310285329,39093,40.603206615996896,18306.044921875,9161.9462890625,0,19597,4
6,3151.256591796875,0.0595423579216003,0.1074977591633796,0.0345789454877376,0.0347381979227066,42842,40.918784617999336,20342.62890625,1740.700439453125,0,3749,4
7,2502.586669921875,0.0514702647924423,0.1150280758738517,0.0306446198374032,0.0304204951971769,49659,38.57391043299867,23442.298828125,3175.83544921875,0,6817,4
8,2179.002197265625,0.0624032206833362,0.1252721697092056,0.0682683587074279,0.069070465862751,55049,46.46141077300126,26752.14453125,2508.195068359375,0,5390,4
9,3409.507080078125,0.0495199859142303,0.0923070609569549,0.0295076090842485,0.0298086032271385,59790,43.05197794199921,29791.6953125,2204.8662109375,0,4741,4
