Complexity,Loss,Equation
1,0.006523656,"0.0010186207"
2,0.0047572395,"tanh(x3)"
3,0.0030315777,"x3 / 2.6303465"
4,0.002752253,"tanh(x3) * 0.57835937"
5,0.0027398337,"tanh(tanh(x3)) * 0.676398"
6,0.002484566,"x1 + (tanh(x3) / 1.8011224)"
7,0.0024666016,"x1 + (tanh(tanh(x3)) * 0.64993423)"
8,0.0023861094,"(x1 + x1) + (tanh(x3) / 1.8794496)"
9,0.0023627272,"tanh((tanh(x3) * 0.5793861) + (x1 + x1))"
10,0.002202297,"tanh(x3) * (x3 + (x2 + (x2 + 0.45886263)))"
11,0.0021625725,"tanh(tanh(x3)) * ((x3 + x2) + (x2 + 0.5539931))"
12,0.0019769466,"x1 + ((x2 + (x2 + (x3 + 0.43572038))) * tanh(x3))"
13,0.0019245798,"x1 + ((x2 + (x2 + (x3 + 0.52754015))) * tanh(tanh(x3)))"
14,0.0019081618,"x1 + ((x2 + (((x2 + x3) + 0.41110036) + x1)) * tanh(x3))"
15,0.0018555033,"(((x3 + (x2 + 0.5036721)) + x2) * tanh(tanh(x3))) + (x1 * 1.9021411)"
17,0.0018023619,"(tanh(tanh(x3)) * ((x2 + ((x1 + x2) + 0.5036721)) + x3)) + (1.9021411 * x1)"
18,0.0017968552,"tanh(tanh(tanh(((x1 * 8.652643) + x3) * ((1.1692861 - x0) - (x0 + (x0 * 4.57329))))))"
19,0.0017169616,"tanh(tanh(tanh(tanh(((1.1597296 - x0) - ((x0 + x0) * 2.589684)) * (x3 + (x1 * 7.5785356))))))"
