position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,91,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
1,92,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
2,93,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
3,94,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
4,95,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
5,96,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
6,97,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
7,98,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
8,99,0.003771316958591342,0.003698111977428198,41.5,0.00367496395483613,0.003634887980297208,44.20000076293945,[]
9,0,0.003664997173473239,0.003497028024867177,41.400001525878906,0.003507158486172557,0.003327034180983901,43.79999923706055,[]
