iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10602498,86.5,,,5000,5000,0,1.0,0.103026845,0.11207288,
1,0.15039617,207.8,1000.0,0.5,10000,5000,5000,1.0,0.13365425,0.18428154,0
2,0.13330685,202.6,1000.0,0.5,15000,5000,10000,1.0,0.12237905,0.15630774,0
3,0.12946317,202.6,1000.0,0.5,20000,5000,15000,1.0,0.12219904,0.14831136,0
4,0.12631254,202.6,1000.0,0.5,20000,5000,15000,1.0,0.12224077,0.14199539,0
5,0.123327225,177.0,1000.0,0.5,20000,5000,15000,1.0,0.12040245,0.13691123,0
6,0.12116265,100.5,1000.0,0.5,20000,5000,15000,1.0,0.11833483,0.13375483,0
7,0.118583076,219.8,1000.0,0.5,20000,5000,15000,1.0,0.11227456,0.1330685,0
8,0.116832,187.40001,1000.0,0.5,20000,5000,15000,1.0,0.1109256,0.12891157,0
9,0.11554142,31.4,1000.0,0.5,20000,5000,15000,1.0,0.11066415,0.12718853,0
