iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.02551250159740448,0.026765435934066772,595.820556640625,,8000,10000,,,199,200
1,0.035591624677181244,0.028103815391659737,643.4681396484375,578.7706909179688,11897,3897,20,0,196,200
2,0.04138357564806938,0.029019128531217575,3220.01416015625,344.29425048828125,14769,2872,20,0,195,200
3,0.026109272614121437,0.026052745059132576,1424.1912841796875,3234.09814453125,34769,20000,20,0,193,200
4,0.026472995057702065,0.021125536412000656,3188.75830078125,1431.5621337890625,43980,9211,20,0,194,200
5,0.02528619021177292,0.018754733726382256,3197.278076171875,3188.163818359375,63980,20000,20,0,193,200
6,0.022106142714619637,0.01759158819913864,3232.038330078125,3197.932373046875,83980,20000,20,0,195,200
7,0.01872178167104721,0.014419490471482277,3187.099365234375,3150.520263671875,103473,19493,20,0,198,200
8,0.018060756847262383,0.014964832924306393,3206.896484375,3185.836669921875,123473,20000,20,0,192,200
9,0.016817914322018623,0.01206324715167284,3181.308349609375,3205.34521484375,143473,20000,20,0,197,200
