iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.001188015565276146,3718.032958984375,,8000,8000,10000,,
1,0.0074456799775362015,175.0676727294922,3504.117919921875,15523,10000,7523,20,0
2,0.009308562614023685,294.9255065917969,170.81552124023438,15916,10000,393,20,0
3,0.007346037775278091,360.1935119628906,297.6659851074219,16578,10000,662,20,0
4,0.006537235341966152,795.4281005859375,359.77410888671875,17373,10000,795,20,0
5,0.0033123986795544624,2222.30517578125,794.035888671875,19104,10000,1731,20,0
6,0.003777163801714778,959.8287353515625,2150.77978515625,23731,10000,4627,20,0
7,0.0037898127920925617,1084.5966796875,963.0724487304688,25820,10000,2089,20,0
8,0.004116134252399206,1013.5836791992188,1068.7633056640625,28134,10000,2314,20,0
9,0.00354913086630404,1005.0701293945312,1013.9322509765625,30339,10000,2205,20,0
