iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.10801702,101.30000305175781,,,5000,5000,0,0,1.0,0.108761236,0.10924876,,3,10,,,
1,0.110103026,95.20000457763672,1000.0,0.8,15000,5000,9922,78,1.0,0.109786704,0.11353343,0,10,10,0,101.30000305175781,0.8
2,0.12536307,241.90000915527344,1000.0,0.7000000000000001,17111,5000,11250,861,1.0,0.117506415,0.14248429,0,9,10,0,101.30000305175781,0.7000000000000001
3,0.12250681,24.100000381469727,1000.0,0.6000000000000001,17192,5000,11250,942,1.0,0.11659698,0.1373785,0,1,10,2,241.90000915527344,0.6000000000000001
4,0.12171706,24.100000381469727,1000.0,0.5,17268,5000,11250,1018,1.0,0.11645214,0.13546342,0,1,10,2,241.90000915527344,0.5
5,0.12123431,24.100000381469727,1000.0,0.4,17339,5000,11250,1089,1.0,0.11638366,0.133951,0,1,10,2,241.90000915527344,0.4
6,0.12076848,34.29999923706055,1000.0,0.30000000000000004,17391,5000,11250,1141,1.0,0.11709432,0.13032581,0,1,10,2,241.90000915527344,0.30000000000000004
7,0.12096511,73.70000457763672,1000.0,0.19999999999999996,17435,5000,11250,1185,1.0,0.11416922,0.13367651,0,1,10,2,241.90000915527344,0.19999999999999996
8,0.12198551,91.80000305175781,1000.0,0.09999999999999998,17435,5000,11250,1185,1.0,0.11551974,0.13459775,0,1,10,2,241.90000915527344,0.09999999999999998
9,0.13473791,244.3000030517578,243.0,0.0,17471,5000,11250,1221,1.0,0.13053048,0.15049982,0,3,10,2,241.90000915527344,0.0
10,0.1307546,6.0,243.3,0.0,17498,5000,11250,1248,1.0,0.11930801,0.15592371,0,2,10,9,244.3000030517578,0.0
11,0.13478895,6.0,240.7,0.0,17526,5000,11250,1276,1.0,0.12117899,0.16432358,0,3,10,9,244.3000030517578,0.0
12,0.13799863,6.0,239.1,0.0,17551,5000,11250,1301,1.0,0.12235918,0.17173691,0,4,10,9,244.3000030517578,0.0
13,0.13656372,6.5,241.40001,0.0,17579,5000,11250,1329,1.0,0.122419484,0.1684543,0,6,10,9,244.3000030517578,0.0
14,0.13838972,5.800000190734863,236.8,0.0,17605,5000,11250,1355,1.0,0.12286748,0.17314473,0,5,10,9,244.3000030517578,0.0
