iteration,student_reward,train_weighted_mse,train_mse,validation_weighted_mse,validation_mse,dataset_size,fit_seconds,weight_effective_sample_size,behavior_reward,invalid_transitions,new_samples
0,1280.0225830078125,0.000493378029204905,0.0003591226413846016,0.0009034073445945978,0.0005716030136682093,8000,41.330447079002624,6557.955078125,,0,8000
1,723.8792724609375,0.051404476165771484,0.03938823938369751,0.00675509637221694,0.004843813367187977,10370,36.53602915300871,1510.356201171875,1095.4835205078125,0,2370
2,2141.841552734375,0.04218117520213127,0.05921892076730728,0.002987892832607031,0.0024546559434384108,12081,37.941266103007365,1220.8306884765625,783.6163940429688,0,1711
3,8055.9921875,0.07627485692501068,0.12704254686832428,0.003280539531260729,0.002569946926087141,17353,39.45197906899557,1917.5555419921875,2453.293701171875,0,5272
4,3060.538818359375,0.07304108142852783,0.14209209382534027,0.01233290322124958,0.010849951766431332,34937,37.99263573999633,5439.921875,8217.0849609375,0,17584
5,4471.5107421875,0.07406310737133026,0.13307702541351318,0.006776966154575348,0.00621505081653595,41487,41.85521878000873,7216.43310546875,3051.136474609375,0,6550
6,3763.739990234375,0.07916830480098724,0.14613808691501617,0.005103249568492174,0.004794719163328409,51589,42.55258981799125,10820.5673828125,4712.291015625,0,10102
7,4018.82666015625,0.07554333657026291,0.13975834846496582,0.004159397445619106,0.0038978864904493093,59772,45.02862489799736,13595.8076171875,3814.706298828125,0,8183
8,3549.498779296875,0.06463191658258438,0.13677775859832764,0.011735291220247746,0.011607308872044086,68157,44.107293881999794,16775.3125,3909.858154296875,0,8385
9,4098.88525390625,0.0639997199177742,0.1303607076406479,0.005875358358025551,0.00566193088889122,75735,42.92257704900112,20936.109375,3531.692138671875,0,7578
