iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.105978765,117.3,,,5000,5000,0,1.0,0.103786565,0.109936565,
1,0.16275276,65.5,1000.0,0.5,10000,5000,5000,1.0,0.12765011,0.23257238,0
2,0.16828568,249.7,1000.0,0.5,15000,5000,10000,1.0,0.14461921,0.22236742,0
3,0.15317097,247.90001,1000.0,0.5,20000,5000,15000,1.0,0.13430509,0.19061194,0
4,0.14251903,248.3,1000.0,0.5,20000,5000,15000,1.0,0.12622303,0.1737128,0
5,0.13564537,253.90001,1000.0,0.5,20000,5000,15000,1.0,0.119473636,0.16548668,0
6,0.13067591,252.5,1000.0,0.5,20000,5000,15000,1.0,0.1147201,0.16059217,0
7,0.1276949,252.5,1000.0,0.5,20000,5000,15000,1.0,0.11260907,0.15542917,0
8,0.12499016,245.90001,1000.0,0.5,20000,5000,15000,1.0,0.11156308,0.14894885,0
9,0.12318542,245.90001,1000.0,0.5,20000,5000,15000,1.0,0.110392936,0.14563663,0
