position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,99,0.041841913014650345,0.044122084975242615,112.80000305175781,0.037419747561216354,0.0409141443669796,120.20000457763672,[]
1,0,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
2,1,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
3,2,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
4,3,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
5,4,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
6,5,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
7,6,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
8,7,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
9,8,0.10305328667163849,0.05198860913515091,107.80000305175781,0.08832956105470657,0.04747631400823593,76.80000305175781,[]
