generation,max_fitness,mean_fitness,evaluation_time
0,284.6819763183594,40.625457763671875,17.329669707047287
1,348.1796875,74.89984893798828,3.9387045729672536
2,355.6900939941406,88.48411560058594,4.071273848996498
3,393.4718017578125,116.81754302978516,4.846287738007959
4,993.673828125,113.69322204589844,3.9634796729660593
5,1015.1580200195312,143.1011505126953,3.962686043989379
6,1014.9872436523438,165.71273803710938,3.915244375995826
7,1015.1759643554688,154.14382934570312,4.250688395986799
8,1015.4228515625,173.25656127929688,3.958357155963313
9,1015.7371215820312,238.70835876464844,4.2186456130002625
10,1015.78955078125,258.1881103515625,4.2903403749805875
11,1023.0143432617188,236.27359008789062,4.063168797001708
12,1023.66796875,238.89833068847656,612.00393359398
13,1023.6730346679688,245.85972595214844,4.6738607010338455
14,1023.7660522460938,261.5536804199219,4.692017388995737
15,1023.7688598632812,275.1851806640625,4.680078913981561
16,1023.6542358398438,249.1650390625,4.6667711259797215
17,1024.240966796875,250.20628356933594,4.758454100985546
18,1024.0697021484375,235.42027282714844,4.757894829032011
19,1023.9248046875,296.566162109375,4.764448565023486
20,1024.2196044921875,276.61474609375,4.774591729044914
21,1024.0751953125,307.57122802734375,4.776863056991715
22,1024.9462890625,272.94793701171875,4.8779185199528
23,1025.30126953125,250.03895568847656,4.753726597991772
24,1024.529296875,239.14251708984375,4.752588295028545
25,1025.1190185546875,266.4747314453125,4.762767119973432
26,1025.166015625,231.1266326904297,4.756416924006771
27,1024.8597412109375,297.9651184082031,4.755029477993958
28,1025.0574951171875,253.53712463378906,4.777620026026852
29,1024.932373046875,292.81884765625,4.737681882979814
30,1026.3033447265625,317.6588134765625,4.767299893021118
31,1027.6842041015625,334.4624938964844,4.774006334017031
32,1028.045166015625,283.1314697265625,4.755134824954439
33,1027.9818115234375,266.75531005859375,4.756651656003669
34,1028.346923828125,303.6398620605469,4.757956232992001
35,1028.33935546875,367.1279296875,4.8576327440096065
36,1028.1385498046875,323.2095031738281,4.749138257990126
37,1028.4757080078125,266.3515319824219,4.7411316959769465
38,1028.8531494140625,250.4921875,4.659159377973992
39,1028.2020263671875,225.5916748046875,4.748684323974885
40,1028.877197265625,234.1211700439453,4.77118243498262
41,1028.956298828125,205.88690185546875,4.888676403963473
42,1028.849609375,225.9002227783203,4.745776897005271
43,1028.7904052734375,243.69158935546875,4.755202708998695
44,1029.7586669921875,247.4739227294922,4.75478566903621
45,1029.890625,199.3167266845703,4.749635573010892
46,1028.5849609375,244.14854431152344,4.746618009987287
47,1031.031494140625,267.8636169433594,4.750649513967801
48,1030.8648681640625,227.12564086914062,4.743331884033978
49,1030.8358154296875,200.84523010253906,4.754225184035022
50,1030.77734375,213.26419067382812,4.773360361985397
51,1030.8525390625,231.66744995117188,4.732828661974054
52,1031.412353515625,273.5107727050781,4.648976301017683
53,1031.8031005859375,268.79443359375,4.69842502695974
54,1031.8055419921875,230.31295776367188,4.745455815980677
55,1032.141845703125,231.26841735839844,4.629249968973454
56,1031.3990478515625,243.26290893554688,4.669627369963564
57,1031.080078125,220.22560119628906,4.682158330979291
58,1031.0140380859375,263.23388671875,4.668812341988087
59,1032.604736328125,321.2609558105469,4.661060879006982
60,1032.5289306640625,288.8916015625,4.6834380779764615
61,1031.63232421875,237.37026977539062,4.482996618957259
62,1031.99658203125,288.2264709472656,4.67341435601702
63,1032.097900390625,263.0279541015625,4.6926166280172765
64,1031.8170166015625,291.40087890625,4.553212701983284
65,1031.531982421875,261.8806457519531,4.782308389025275
66,1032.4959716796875,289.1839294433594,4.681377217988484
67,1031.9373779296875,259.6456298828125,4.573910228034947
68,1032.3692626953125,274.8932800292969,4.556140278000385
69,1032.3201904296875,230.3060760498047,4.64917027199408
70,1032.129150390625,227.5420684814453,4.690256260044407
71,1032.5650634765625,222.4833526611328,4.53937783400761
72,1032.0732421875,234.2808074951172,4.66982976696454
73,1032.2972412109375,268.3337707519531,4.709072652971372
74,1032.3411865234375,231.31358337402344,4.4559660839731805
75,1032.7794189453125,224.44163513183594,4.737660220009275
76,1032.2264404296875,228.91375732421875,4.705924173002131
77,1045.1099853515625,283.3486633300781,4.446849676023703
78,1036.715087890625,262.4581298828125,4.7135329600423574
79,1043.441162109375,240.43487548828125,4.634051942965016
80,1041.8515625,274.3731689453125,4.476815528003499
81,1032.4871826171875,252.05709838867188,5.158646040013991
82,1041.9273681640625,241.19253540039062,4.775710195011925
83,1032.2196044921875,216.68865966796875,4.753033451037481
84,1032.5491943359375,232.83444213867188,4.685935440997127
85,1032.5931396484375,256.7155456542969,4.747720595041756
86,1032.237548828125,182.42593383789062,4.733500192989595
87,1032.6180419921875,203.23280334472656,4.686883223999757
88,1032.8543701171875,251.2854461669922,4.759029784996528
89,1032.49267578125,269.1770935058594,4.76983945001848
90,1031.9754638671875,220.66921997070312,4.814436902990565
91,1032.548828125,200.324951171875,4.736159501015209
92,1032.37548828125,234.66799926757812,4.74532361299498
93,1033.0216064453125,219.90261840820312,4.745145385037176
94,1032.6619873046875,214.40792846679688,4.745549288985785
95,1032.9150390625,206.89085388183594,4.743131102004554
96,1032.3377685546875,199.90452575683594,4.7610040419967845
97,1032.475830078125,207.8533172607422,4.778091348009184
98,1032.5750732421875,232.11436462402344,4.771414640999865
99,1033.007080078125,238.6394500732422,4.772804854961578
