iteration,best_fitness,best_cumulative_reward,cumulative_reward_of_best,beta,evaluation_time
0,856.40546,204.16797,204.16797,0.6,17.197598465000002
1,858.02313,250.30728,238.67339,0.6,1.9151422799999978
2,856.7791,336.47614,190.96263,0.6,1.9033210919999988
3,857.96027,290.9805,226.61626,0.6,1.938528961000003
4,856.2225,901.79474,195.77434,0.6,1.850702465000012
5,873.29395,904.0717,25.67718,0.6,1.874401554000002
6,879.8926,949.62274,25.447113,0.6,1.8955041900000111
7,877.18915,233.48111,25.067875,0.6,2.1019438439999902
8,2287.9355,286.97565,52.712696,0.6,1.9108787050000018
9,1983.7897,232.30908,139.47838,0.6,1.9133154419999983
10,1702.8938,335.29776,65.743614,0.6,1.8638958450000018
11,2087.0737,237.63647,61.64808,0.6,1.8944897149999917
12,2548.5251,229.48502,75.26466,0.6,1.8943231559999987
13,2852.7761,231.39153,98.68399,0.6,1.9049364319999995
14,2930.2188,238.80887,59.68125,0.6,1.8687494279999868
15,2891.5596,236.69939,56.54887,0.6,1.9449059199999965
16,2923.5176,251.42393,67.5384,0.6,2.030250475999992
17,2948.2231,266.41425,56.46223,0.6,1.9133458780000012
18,2904.086,242.00574,84.35713,0.6,2.034016316999981
19,2952.1255,978.18945,80.82253,0.6,1.9822343219999823
20,2950.5386,261.96118,137.23743,0.6,1.9843237170000236
21,2912.4841,230.22237,120.97564,0.6,1.9826928159999966
22,2783.647,984.14594,64.94661,0.6,2.1163625420000187
23,2946.7053,381.3119,98.84301,0.6,2.046369317
24,2806.555,922.27893,90.34734,0.6,2.003122582000003
25,2922.4187,317.38254,71.514465,0.6,1.8740438660000223
26,2813.137,239.16338,101.052025,0.6,1.9993662210000025
27,2783.947,498.35303,120.40783,0.6,2.015378159999983
28,2917.588,545.8488,62.344337,0.6,1.8522820670000044
29,2780.149,282.14264,147.23662,0.6,1.983585364999982
30,2788.9702,1008.12024,113.339165,0.6,1.860049217000011
31,2917.7722,1002.93085,54.55094,0.6,1.8498467560000051
32,2779.4863,1010.0475,157.7422,0.6,1.8595111249999832
33,2779.257,1006.7531,175.02063,0.6,2.2455792909999843
34,2779.0232,992.2233,99.975746,0.6,1.8923683140000094
35,2779.0955,243.1085,127.36184,0.6,1.9426614719999975
36,2778.1687,264.0966,115.8605,0.6,2.0042590980000057
37,2777.1309,726.71075,96.60055,0.6,2.147840961000014
38,2783.679,969.90704,79.747635,0.6,1.9880669060000002
39,2776.8276,736.7964,30.510015,0.6,1.935102905000008
40,2785.7935,259.78986,98.70471,0.6,1.9552519540000048
41,2783.0059,286.7813,94.42431,0.6,1.9816405320000001
42,2776.595,489.1538,121.36853,0.6,1.8949658759999863
43,2781.266,690.69745,36.76768,0.6,2.0487618430000225
44,2776.7112,272.9663,120.194756,0.6,1.882388657000007
45,2781.529,1015.9344,91.33105,0.6,1.903505942999999
46,2776.5566,1007.1471,89.23214,0.6,1.9233964409999942
47,2779.3713,999.1047,39.253796,0.6,2.5466998090000175
48,2782.6802,265.59796,113.204,0.6,1.9694411969999805
49,2781.333,259.7033,78.10693,0.6,1.9553621209999505
50,2782.6465,995.6242,62.67582,0.6,2.06986157099999
51,2778.104,1003.6222,104.50338,0.6,1.9151882150000006
52,2781.366,992.93085,83.16927,0.6,1.9040399089999482
53,2774.7498,457.66602,120.93709,0.6,1.9635457439999868
54,2782.035,248.35948,169.89839,0.6,2.340192118999994
55,2775.471,228.86502,29.090408,0.6,1.8725261289999935
56,2782.2468,236.55888,112.45933,0.6,2.0737384040000393
57,2780.1882,957.4427,256.69263,0.6,2.0910653739999816
58,2782.4602,772.64667,132.73328,0.6,2.019870612000034
59,2775.8625,985.1157,87.87388,0.6,2.0929973319999817
60,2784.348,199.21913,124.00264,0.6,2.076034113999981
61,2780.8381,254.3336,120.37184,0.6,2.2828107130000035
62,2776.2698,976.2775,195.12384,0.6,1.9802020950000383
63,2789.7866,227.05089,178.73534,0.6,1.9625312019999797
64,2778.1257,496.75723,101.75826,0.6,2.0548634109999853
65,2781.2368,983.2646,147.46143,0.6,2.016532679000022
66,2776.1333,979.91425,120.21521,0.6,2.0642052940000326
67,2779.47,392.64233,79.37368,0.6,2.063626536999948
68,2780.6216,906.1709,90.04601,0.6,2.322939474000009
69,2768.1248,990.37494,70.831276,0.6,2.036811979000049
70,2769.0127,1004.30023,87.58388,0.6,2.1138283209999713
71,2772.1934,1008.08673,145.30804,0.6,1.9354276909999726
72,2647.3308,985.3361,51.682655,0.6,1.9357028199999604
73,2658.8892,354.21878,51.337524,0.6,2.1863711169999647
74,2670.5964,823.2633,51.82688,0.6,2.1018564080000033
75,2629.868,959.3623,51.786037,0.6,2.3081015779999916
76,2645.5266,893.7593,51.763783,0.6,2.091525493000006
77,2633.7664,691.821,51.508343,0.6,1.902039163999973
78,2681.9055,337.04837,51.798763,0.6,2.239184874999978
79,2660.0837,353.54663,52.583035,0.6,1.9982226959999707
80,2650.6301,841.1076,51.95887,0.6,2.0343419330000074
