iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.10674105,31.9,,,5000,5000,0
1,0.14087501,28.6,1000.0,0.5,10000,5000,5000
2,0.1592516,183.90001,1000.0,0.5,15000,5000,10000
3,0.14279728,190.8,1000.0,0.5,20000,5000,15000
4,0.13375568,239.3,1000.0,0.5,20000,5000,15000
5,0.1284809,216.40001,1000.0,0.5,20000,5000,15000
6,0.12453692,200.0,1000.0,0.5,20000,5000,15000
7,0.12227955,44.0,1000.0,0.5,20000,5000,15000
8,0.12010561,47.100002,1000.0,0.5,20000,5000,15000
9,0.1187345,47.100002,1000.0,0.5,20000,5000,15000
