action_index,position,expression,length,operon_mse,validation_mse
0,0,(0.081666 + ((-4.236211) * (0.238066 * X6))),5,0.046693406999111176,0.008949639275670052
0,1,(0.081549 + (0.216572 * tanh(((-31.866552) * X6)))),6,0.044922929257154465,0.009364994242787361
0,2,(0.072775 + (1.087572 * (((-0.784170) * X6) - ((-0.435237) * X7)))),7,0.04228692501783371,0.014237125404179096
0,3,(0.070851 + (0.998906 * tanh((((-0.871751) * X6) + ((-12.062117) * X3))))),8,0.03701285645365715,0.00984265562146902
0,4,(0.073527 + (0.726489 * tanh(((((-3.484884) * X6) / (sqrt(1 + ((-6633.740234) * X3) ^ 2))) - ((-1.352418) * X7))))),10,0.03582298383116722,0.009482679888606071
0,5,(0.069555 + (0.976503 * tanh(((tanh(((-3.451664) * X6)) / (sqrt(1 + (44.931374 * X8) ^ 2))) - (0.768347 * X8))))),11,0.03558643162250519,0.01022147573530674
0,6,(0.076697 + (1.217119 * (tanh(tanh(tanh((((-2.389105) * X6) + ((-14.034673) * X3))))) / (sqrt(1 + ((-8.970656) * X6) ^ 2))))),12,0.03474321961402893,0.008168846368789673
0,7,(0.147749 + (0.858341 * tanh(((tanh(((-186.079163) * X1)) / (sqrt(1 + (-7.743478) ^ 2))) + (tanh(((-0.978159) * X6)) - ((-0.618752) * X7)))))),14,0.033164817839860916,0.007406259421259165
0,8,(0.152591 + (0.916312 * tanh(tanh(((tanh(((-186.079163) * X1)) / (sqrt(1 + (-7.743478) ^ 2))) + (tanh(((-0.978159) * X6)) - ((-0.618752) * X7))))))),15,0.03239646181464195,0.006343275774270296
0,9,(0.021257 + (0.575836 * tanh((tanh((tanh(((-1.502956) * X8)) - (tanh((80.319626 * X1)) + (-0.914551)))) - ((3.558325 * X8) + (3.731659 * X7)))))),17,0.029589788988232613,0.006908468436449766
