Complexity,Loss,Equation
1,0.0065236567,"0.0010174039"
2,0.0047572395,"tanh(x3)"
3,0.0036061858,"tanh(tanh(x3))"
4,0.003168858,"tanh(tanh(tanh(x3)))"
5,0.0027475057,"tanh(0.59271437 * tanh(x3))"
7,0.0024869046,"tanh(x1 + (0.5793896 * tanh(x3)))"
8,0.0024113492,"x1 + (x1 + (0.5793896 * tanh(x3)))"
9,0.0023627272,"tanh((tanh(x3) * 0.5793861) + (x1 + x1))"
11,0.0023514242,"tanh(((x1 + x1) * 1.186963) + (tanh(x3) * 0.5793896))"
12,0.0023396523,"tanh(tanh((tanh(x3) * 0.6184985) + ((x1 * 1.5666203) + x1)))"
13,0.0023262969,"tanh(((x1 + x1) - ((tanh(x3) * -0.447104) + -0.004137536)) / 0.7490042)"
14,0.0023040136,"tanh(tanh(((x1 - ((tanh(x3) * -0.44095042) + -0.004383866)) + x1) / 0.7196819))"
15,0.0022752753,"tanh(tanh(tanh((tanh(x3) * ((0.77845424 - x0) - x0)) + (x1 * 1.6784656))))"
16,0.0021941664,"tanh(tanh(tanh(((x3 * 0.21087727) + x1) * (((0.7193351 + x1) * 3.9560666) + x3))))"
17,0.0021099625,"tanh(tanh(tanh((0.47663248 + ((x0 - 0.11043765) * -5.413505)) * (tanh(x3) + (2.1747913 * x1)))))"
18,0.0020823325,"tanh(tanh(((x0 * -2.8102865) + 0.79969233) * tanh((((x1 + x1) + x1) + x1) + x3)))"
19,0.0018424623,"tanh(tanh(tanh((((x0 - 0.11043765) * -5.413505) + 0.47663248) * (tanh(x3) + ((x1 + x1) * 2.1747913)))))"
20,0.0018175585,"tanh(tanh(tanh((((x0 - 0.11043765) * -5.413505) + 0.47663248) * (x3 + (2.1747913 * ((x1 + x1) + x1))))))"
21,0.0016535368,"tanh(tanh(tanh(tanh(((tanh(x0) - 0.17784883) * -8.316221) * (((x1 + (x1 + x1)) * 2.170767) + tanh(x3))))))"
23,0.0015766484,"tanh(tanh(tanh(tanh(((x1 + ((0.1432641 - x0) * (((x1 + x3) + x1) / 0.30504102))) / 0.22048026) - 0.27327228)) - -0.2680752))"
24,0.0015492184,"tanh(tanh(tanh(tanh(((x1 + (((0.14331456 - x0) / 0.30379778) * ((x1 + tanh(x3)) + x1))) / 0.22159538) - 0.27415657)) - -0.26879153))"
25,0.0015465864,"tanh(tanh(tanh(tanh(tanh(((x1 + (((0.14316773 - x0) * (x1 + (x1 + tanh(x3)))) / 0.2941698)) / 0.2066783) - 0.30855575)) - -0.29825842)))"
