iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0005303632351569831,2784.63037109375,,8000,8000,10000,,
1,0.0052284616976976395,397.0254821777344,3071.402099609375,14593,10000,6593,20,0
2,0.0017298773163929582,408.8497009277344,381.7367248535156,15436,10000,843,20,0
3,0.002532587619498372,825.6082153320312,406.5625,16331,10000,895,20,0
4,0.002101923106238246,1502.3382568359375,867.0730590820312,18217,10000,1886,20,0
5,0.008921259082853794,9346.212890625,1502.4482421875,21457,10000,3240,20,0
6,0.0027454476803541183,391.013427734375,9346.3154296875,41457,10000,20000,20,0
7,0.002122201956808567,428.32257080078125,384.52899169921875,42305,10000,848,20,0
8,0.00186431803740561,443.2425231933594,436.2756042480469,43264,10000,959,20,0
9,0.001323847915045917,662.3916015625,438.0806579589844,44227,10000,963,20,0
