action_index,position,expression,length,operon_mse,validation_mse
0,0,((-0.015056) + (7.047534 * ((-0.420011) * X2))),5,0.3233819305896759,0.1366424560546875
0,1,(0.238220 + (1.015267 * (((-0.153760) * X6) - (3.630574 * X2)))),7,0.30512696504592896,0.12929657101631165
0,2,(0.291042 + (1.022364 * (tanh(((-0.194745) * X6)) - (3.596460 * X2)))),8,0.30325284600257874,0.12958094477653503
0,3,((-0.621478) + (1.491806 * ((0.650124 / (sqrt(1 + (1.414214 * X7) ^ 2))) - (2.780735 * X2)))),9,0.27789661288261414,0.15847620368003845
0,4,((-0.682618) + (1.782067 * tanh(((0.650124 / (sqrt(1 + (1.414214 * X7) ^ 2))) - (2.780735 * X2))))),10,0.27213022112846375,0.15126122534275055
0,5,((-0.619249) + (1.130208 * tanh(tanh(((1.403167 / (sqrt(1 + (1.383807 * X7) ^ 2))) - (7.794380 * X2)))))),11,0.27027177810668945,0.12623988091945648
0,6,((-0.856419) + (1.758839 * (((-0.136298) * X8) + tanh(((0.650124 / (sqrt(1 + (0.634152 * X7) ^ 2))) - (2.780735 * X2)))))),12,0.26863226294517517,0.13194377720355988
0,7,(0.082866 + (1.007406 * (((-0.188073) * X8) + (((-0.734766) + (0.987547 / (sqrt(1 + (1.295056 * X7) ^ 2)))) - (4.008239 * X2))))),13,0.26264703273773193,0.1393199861049652
0,8,(0.001085 + (1.026024 * (tanh(((1.420055 / (sqrt(1 + (1.408297 * X7) ^ 2))) - (7.087932 * X2))) + ((-0.507399) + ((-0.095724) * X6))))),14,0.26242366433143616,0.12126976996660233
0,9,(0.024486 + (1.084828 * ((tanh(((1.153783 / (sqrt(1 + (1.433592 * X7) ^ 2))) - (8.233191 * X2))) - ((-1.545183) * X2)) + ((-0.444672) + ((-0.082598) * X6))))),16,0.2617153823375702,0.1218072846531868
0,10,(0.000479 + (1.000219 * ((((1.842710 / (sqrt(1 + (0.586340 * X7) ^ 2))) - (2.780735 * X2)) - (1.160144 * X2)) + ((((-0.192641) * X8) - ((-0.145837) * X4)) + (-1.549028))))),17,0.25653013586997986,0.1390495002269745
0,11,(0.001512 + (1.038689 * (((((-0.535412) + ((-0.084333) * X6)) - (-0.025755)) + ((-0.151620) * X8)) + tanh(((1.387495 / (sqrt(1 + (1.467136 * X7) ^ 2))) - (6.555288 * X2)))))),18,0.25167664885520935,0.1145825982093811
0,12,(0.008081 + (1.018994 * (((((-0.535412) + ((-0.061167) * X6)) - tanh(((-1.062467) * X2))) + ((-0.148752) * X8)) + tanh(((1.378869 / (sqrt(1 + (1.430715 * X7) ^ 2))) - (8.379383 * X2)))))),19,0.25138038396835327,0.11344350129365921
0,13,(0.615979 + (1.330436 * (((((-0.535412) + ((-0.061167) * X6)) - tanh(((-1.062467) * X2))) + ((-0.148752) * X8)) + tanh(((-1.221371) - (((-1.632696) / (sqrt(1 + (0.567927 * X7) ^ 2))) - ((-4.424598) * X2))))))),21,0.2502953112125397,0.1332213431596756
0,14,(0.000274 + (1.011043 * ((((-1.120844) - (3.571273 * X2)) - ((((-1.430473) / (sqrt(1 + (0.675936 * X7) ^ 2))) - (0.432618 * X2)) / (sqrt(1 + ((tanh((12.681738 * X2)) - (13.767911 * X2)) + (0.137053 * X7)) ^ 2)))) - (0.173263 * X8)))),22,0.2472255378961563,0.13778188824653625
