iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10673106,31.800001,,,5000,5000,0,1.0,0.103349395,0.11300238,
1,0.14035094,25.5,1000.0,0.5,10000,5000,5000,1.0,0.1282247,0.16722998,0
2,0.14718376,237.3,1000.0,0.5,15000,5000,10000,1.0,0.13892479,0.17633669,0
3,0.1376737,237.3,1000.0,0.5,20000,5000,15000,1.0,0.13001417,0.16164318,0
4,0.1306279,237.3,1000.0,0.5,20000,5000,15000,1.0,0.12392096,0.15075752,0
5,0.12533487,160.3,1000.0,0.5,20000,5000,15000,1.0,0.120121054,0.14165506,0
6,0.121695064,121.5,1000.0,0.5,20000,5000,15000,1.0,0.116787106,0.1358123,0
7,0.11965291,124.5,1000.0,0.5,20000,5000,15000,1.0,0.11541971,0.132313,0
8,0.11796214,125.4,1000.0,0.5,20000,5000,15000,1.0,0.11415388,0.12943558,0
9,0.116707474,125.4,1000.0,0.5,20000,5000,15000,1.0,0.1130247,0.1276454,0
