iteration,best_loss,median_loss,candidate_count
0,0.02430374,0.035153348,16
1,0.023223856,0.035153348,16
2,0.022991318,0.0383721715,14
3,0.017708855,0.035900563,15
4,0.016823571,0.0307639045,18
5,0.016653588,0.027121676,19
6,0.015993126,0.0307639045,18
7,0.015405548,0.027121676,19
8,0.015286509,0.027121676,19
9,0.015208608,0.027121676,19
10,0.015081306,0.027121676,19
11,0.015081306,0.027121676,19
12,0.015081306,0.027121676,19
13,0.015081306,0.027121676,19
14,0.015081306,0.027121676,19
15,0.015081306,0.027121676,19
16,0.015081306,0.027121676,19
17,0.015081306,0.027121676,19
18,0.015081306,0.027121676,19
19,0.015081306,0.027121676,19
20,0.015081306,0.027121676,19
21,0.015081306,0.027121676,19
22,0.015081306,0.027121676,19
23,0.015081306,0.027121676,19
24,0.015081306,0.027121676,19
25,0.015081306,0.027121676,19
26,0.015081306,0.027121676,19
27,0.015081306,0.027121676,19
28,0.015081306,0.027121676,19
29,0.015081306,0.027121676,19
30,0.015081306,0.027121676,19
31,0.015081306,0.027121676,19
32,0.015081306,0.027121676,19
33,0.015081306,0.027121676,19
34,0.015081306,0.027121676,19
35,0.015081306,0.027121676,19
36,0.015081306,0.027121676,19
37,0.015081306,0.027121676,19
38,0.015081306,0.027121676,19
39,0.015081306,0.027121676,19
