iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09836523979902267,0.10110873728990555,2679.670654296875,,8000,10000,,
1,0.15806767344474792,0.1339753419160843,2055.359130859375,2357.86376953125,22838,14838,20,0
2,0.21550816297531128,0.15614721179008484,915.1837768554688,1719.0281982421875,37162,14324,20,0
3,0.24719880521297455,0.15372911095619202,73.18462371826172,897.4099731445312,42799,5637,20,0
4,0.22836506366729736,0.15498243272304535,694.9780883789062,73.31615447998047,43722,923,20,0
5,0.23668140172958374,0.15609979629516602,873.4279174804688,752.1756591796875,48791,5069,20,0
6,0.2441735565662384,0.16016192734241486,862.958984375,866.7892456054688,54253,5462,20,0
7,0.2667533755302429,0.16628536581993103,497.11572265625,866.9921264648438,59756,5503,20,0
8,0.24533286690711975,0.15729443728923798,861.6795043945312,496.24560546875,63422,3666,20,0
9,0.24778765439987183,0.1610129326581955,864.9127197265625,857.6345825195312,68725,5303,20,0
