iteration,best_loss,median_loss,candidate_count
0,0.0022249392,0.002724196,18
1,0.0021016884,0.002697844,17
2,0.002024683,0.0024571565,21
3,0.0020209185,0.0024560384499999997,22
4,0.0020209185,0.0024560384499999997,22
5,0.0020209183,0.0024560384499999997,22
6,0.0020209183,0.0024560384499999997,22
7,0.0019760153,0.0024560384499999997,22
8,0.0019760153,0.0025181137,19
9,0.0018817782,0.0024571565,21
10,0.0018817213,0.0024571565,21
11,0.0018817213,0.0024876351,20
12,0.0017394599,0.0024571565,21
13,0.001725109,0.0024876351,20
14,0.0017206608,0.0024876351,20
15,0.0017205613,0.0024876351,20
16,0.0017205613,0.0024876351,20
17,0.0017205613,0.0024876351,20
18,0.0017205613,0.0024876351,20
19,0.0017205613,0.0024876351,20
20,0.0017205613,0.0024876351,20
21,0.0017205613,0.0024876351,20
22,0.0017205613,0.0024876351,20
23,0.0017205613,0.0024876351,20
24,0.0017205613,0.0024876351,20
25,0.0017205613,0.0024876351,20
26,0.0017205613,0.0024876351,20
27,0.0017205613,0.0024876351,20
28,0.0017205613,0.0024876351,20
29,0.0017205613,0.0024876351,20
30,0.0017205613,0.0024876351,20
31,0.0017205613,0.0024876351,20
32,0.0017181482,0.0024876351,20
33,0.0017180393,0.0024876351,20
34,0.0017180393,0.0024876351,20
35,0.0017180393,0.0024876351,20
36,0.0017180393,0.0024876351,20
37,0.0017180393,0.0024876351,20
38,0.0017180393,0.0024876351,20
39,0.0017180393,0.0024876351,20
