position,complexity,equation,pysr_loss,validation_mse,reward
0,1,-0.0004034635,0.005668558,0.008062880486249924,28.30000114440918
1,2,tanh(x1),0.0051877946,0.007702959235757589,188.1999969482422
2,3,tanh(tanh(x3)),0.0035870855,0.00420795613899827,114.80000305175781
3,4,tanh(tanh(tanh(x3))),0.003252449,0.0038568666204810143,114.80000305175781
4,5,tanh(tanh(x3) * 0.48349386),0.0030179892,0.0037013839464634657,101.0999984741211
5,7,x1 + tanh(tanh(x3 * 0.43247786)),0.0027869807,0.003389523597434163,213.60000610351562
6,8,x1 + tanh(tanh(tanh(x3 * 0.43247786))),0.0027660306,0.003417650470510125,213.6999969482422
7,9,tanh((tanh(x3) * 0.4376312) + (x1 + x1)),0.0026327767,0.003500420833006501,248.3000030517578
8,11,tanh(tanh(tanh((x1 + (0.48349386 * tanh(x3))) / 0.7283452))),0.0025775176,0.003234909614548087,237.90000915527344
9,12,tanh(tanh(tanh(tanh(tanh(x3 / 1.6203545) + (x1 + x1))))),0.0025181137,0.003182428888976574,251.3000030517578
10,13,tanh(tanh(tanh(((x1 + (tanh(x3) * 0.4376312)) + x1) / 0.66335636))),0.0024571565,0.003171744057908654,264.20001220703125
11,14,tanh(tanh(tanh(tanh((x1 + (tanh(x3) * 0.4376312)) + x1) / 0.66335636))),0.0024549204,0.0031955696176737547,263.70001220703125
12,16,tanh(tanh(tanh(tanh((x1 * 1.0442036) + ((tanh(x3) * 0.4376312) + x1)) / 0.66335636))),0.002454731,0.0031986860558390617,264.20001220703125
13,17,tanh(tanh(tanh(tanh(((tanh(tanh(x3)) * 0.15349337) + x1) / (x0 - -0.14803196)))) - x1),0.0020555488,0.0030188853852450848,235.40000915527344
14,19,tanh(tanh(tanh(tanh(((tanh(tanh(x3)) * 0.13385008) + x1) / (x0 - -0.12823005)))) - x1) / 0.8808947,0.0020004688,0.0029697909485548735,208.0
15,20,tanh(tanh(tanh(tanh((tanh((tanh(tanh(x3)) * 0.12938957) + x1) / (x0 - -0.07602883)) - x1)) - x1)),0.001898891,0.0028909030370414257,91.4000015258789
16,21,tanh(tanh(tanh(tanh((((tanh(tanh(x3)) * 0.12938957) + x1) / (x0 - -0.07602883)) - x1)) - x1) / 1.007992),0.0018980148,0.0028925647493451834,92.0
17,22,tanh(tanh(tanh(tanh(((tanh(x1 + (tanh(tanh(x3)) * 0.12792778)) / (x0 - -0.06178262)) - x1) - x1) - x1))),0.001872049,0.0028254131320863962,85.70000457763672
18,23,tanh(tanh(tanh(tanh(tanh((x1 + ((x1 + tanh(x3)) * (0.20632753 - x0))) * ((0.18881129 - x0) / 0.015545273)))))) + 0.007031648,0.001720699,0.002583492314442992,99.20000457763672
19,25,(tanh(tanh(tanh(tanh(tanh(((0.18881129 - x0) / 0.015545273) * (((x1 + tanh(x3)) * (0.20632753 - x0)) + x1)))))) / 1.017556) + 0.007031648,0.0017180393,0.0025919207837432623,81.9000015258789
