generation,best_loss,median_loss
0,0.002203633775934577,0.005348025355488062
1,0.0021038618870079517,0.0037937951274216175
2,0.0021038618870079517,0.0026945509016513824
3,0.0021038618870079517,0.0023119160905480385
4,0.0021038618870079517,0.002212120918557048
5,0.0021038618870079517,0.0021038618870079517
6,0.002050751121714711,0.0021038618870079517
7,0.002050751121714711,0.0021038618870079517
8,0.002050751121714711,0.0021038618870079517
9,0.0018689411226660013,0.0021038618870079517
10,0.0018689411226660013,0.0021038618870079517
11,0.0018689411226660013,0.0021038618870079517
12,0.0018689411226660013,0.0021038618870079517
13,0.001763652078807354,0.002050751121714711
14,0.001763652078807354,0.002050751121714711
15,0.001763652078807354,0.0018689411226660013
16,0.001763652078807354,0.0018689411226660013
17,0.001763652078807354,0.0018689411226660013
18,0.001763652078807354,0.0018689411226660013
19,0.001763652078807354,0.001868905732408166
20,0.001763652078807354,0.001868905732408166
21,0.001763652078807354,0.001868905732408166
22,0.001763652078807354,0.0018688536947593093
23,0.001763652078807354,0.001763652078807354
24,0.0017629117937758565,0.001763652078807354
25,0.0017629117937758565,0.001763652078807354
26,0.0017629117937758565,0.001763652078807354
27,0.0017629117937758565,0.001763652078807354
28,0.0017629117937758565,0.001763652078807354
29,0.0017629117937758565,0.001763652078807354
30,0.0017629117937758565,0.001763652078807354
31,0.0017597676487639546,0.001763652078807354
32,0.0017597676487639546,0.001763652078807354
33,0.0017592182848602533,0.001763652078807354
34,0.0017592182848602533,0.001763652078807354
35,0.0017592182848602533,0.001763652078807354
36,0.0017592182848602533,0.0017629117937758565
37,0.0014825708931311965,0.0017629117937758565
38,0.0014825708931311965,0.0017629117937758565
39,0.0014825708931311965,0.0017629117937758565
40,0.0014825708931311965,0.0017628242494538426
41,0.0014825708931311965,0.0017624592874199152
42,0.0014825708931311965,0.0017608331982046366
43,0.0014825299149379134,0.0017597676487639546
44,0.0014825299149379134,0.0017592182848602533
45,0.0014825299149379134,0.0017592179356142879
46,0.0014825299149379134,0.0017592179356142879
47,0.0014825299149379134,0.0017592179356142879
48,0.0014825299149379134,0.0017592179356142879
49,0.0014294483698904514,0.0015263828681781888
50,0.0014294483698904514,0.0014825708931311965
51,0.0014294483698904514,0.0014825708931311965
52,0.0014294483698904514,0.0014825708931311965
53,0.0014294483698904514,0.0014825708931311965
54,0.0014294389402493834,0.0014825299149379134
55,0.0014294389402493834,0.0014825299149379134
56,0.0014294389402493834,0.0014825299149379134
57,0.0014294389402493834,0.001450603362172842
58,0.0014294389402493834,0.0014343697112053633
59,0.0014294389402493834,0.0014294483698904514
60,0.0014294389402493834,0.0014294483698904514
61,0.0013790439115837216,0.0014294389402493834
62,0.0013790439115837216,0.0014294389402493834
63,0.0013790439115837216,0.0014294389402493834
64,0.0013688815524801612,0.0014294389402493834
65,0.0013688815524801612,0.0014294389402493834
66,0.0013688815524801612,0.0014294389402493834
67,0.0013688815524801612,0.0014294389402493834
68,0.0013688815524801612,0.0014294389402493834
69,0.0013669905019924045,0.0014294389402493834
70,0.0013669905019924045,0.0014294389402493834
71,0.0013669905019924045,0.0014291902771219611
72,0.0013669905019924045,0.0014291902771219611
73,0.0013669905019924045,0.0014058038359507918
74,0.0013384599005803466,0.0014058038359507918
75,0.0013384599005803466,0.0014058038359507918
76,0.0013384599005803466,0.0013790439115837216
77,0.0013384599005803466,0.0013688815524801612
78,0.0013384599005803466,0.0013688815524801612
79,0.0013384599005803466,0.0013688815524801612
80,0.0013384599005803466,0.0013688815524801612
81,0.0013384599005803466,0.0013688815524801612
82,0.0013384599005803466,0.0013688815524801612
83,0.0013384599005803466,0.0013688815524801612
84,0.0013384599005803466,0.0013688815524801612
85,0.0013384599005803466,0.001368838595226407
86,0.0013384599005803466,0.001368129625916481
87,0.0013042327482253313,0.0013669905019924045
88,0.0013042327482253313,0.0013669905019924045
89,0.0013042327482253313,0.0013527774717658758
90,0.0013042327482253313,0.0013385200873017311
91,0.0013042327482253313,0.0013384599005803466
92,0.0013042327482253313,0.0013384599005803466
93,0.0013042327482253313,0.0013384599005803466
94,0.0013042327482253313,0.0013384599005803466
95,0.0013042327482253313,0.0013384599005803466
96,0.0013042327482253313,0.0013384599005803466
97,0.0013042327482253313,0.0013384599005803466
98,0.0013042327482253313,0.0013384599005803466
99,0.0013042327482253313,0.0013384599005803466
