Complexity,Loss,Equation
1,0.006686469,"-0.00034776505"
2,0.005375362,"tanh(x3)"
3,0.0043000355,"0.54335284 * x3"
4,0.0036924565,"0.54335284 * tanh(x3)"
6,0.0034275905,"x1 + tanh(x3 * 0.49926758)"
7,0.0033264102,"tanh(tanh(x3 * 0.49926758)) + x1"
8,0.0032727518,"(0.54335284 * tanh(x3 / 0.99191666)) + x1"
10,0.0030423938,"((0.54335284 * tanh(x3 / 0.99191666)) + x1) + x1"
11,0.0030063323,"tanh(tanh((x1 + ((x3 * 0.32723927) + x1)) * 1.5825936))"
12,0.0029682415,"(x1 + ((x1 + (tanh(x3) * 0.53952086)) + x1)) - -0.0072542527"
13,0.0029303485,"tanh((x1 * 2.6014729) + ((tanh(x3) + (x2 * 0.41645333)) / 1.1902268))"
15,0.002749989,"tanh(tanh(tanh(((x1 + (tanh(x3) * 0.35974956)) + x1) / (x0 - -0.48632932))))"
17,0.0027356194,"tanh(tanh((x1 + (x1 + (x3 * 0.3277546))) * 5.925274) * ((0.3852066 + x1) - x0))"
19,0.0026577676,"tanh(tanh(tanh((((x1 + (tanh(x3) * 0.35974956)) + x1) / (x0 - -0.48632932)) / (x0 - -0.830142))))"
20,0.0020575034,"((((0.14546056 - (x1 + x0)) * tanh((x3 + -0.15891986) / 0.17138062)) + x1) + (x0 * x0)) * 3.2540834"
21,0.001961984,"tanh((x1 + (x0 * x0)) + ((0.14308164 - (x0 + x1)) * tanh((x3 + -0.15080668) / 0.12740235))) * 3.808344"
22,0.0018427577,"(((0.15280606 - (x1 + x0)) * tanh((x3 + -0.09640476) / (x0 - -0.044372216))) + (x1 + (x0 * x0))) * 3.2455387"
