position,expression,length,operon_mse,validation_mse,reward
0,((-0.000106) + ((-15.915079) * ((-0.025822) * X4))),5,0.004034586250782013,0.0038600885309278965,90.9000015258789
1,(0.000667 + (0.491928 * tanh((1.414214 * X4)))),6,0.003662314498797059,0.003631394822150469,114.5
2,((-0.000242) + (0.974214 * ((0.764866 * X4) / (sqrt(1 + ((-3.190651) * X3) ^ 2))))),7,0.003511088201776147,0.0035590697079896927,117.9000015258789
3,(0.005713 + (0.532666 * tanh(((1.191023 * X4) - ((-5.501473) * X2))))),8,0.003171188523992896,0.003032985609024763,653.9000244140625
4,(0.003207 + (0.959874 * (((0.754273 * X4) / (sqrt(1 + ((-3.287590) * X3) ^ 2))) - ((-2.378415) * X2)))),9,0.003007452003657818,0.0030004088766872883,571.7999877929688
5,(0.003327 + (1.000618 * ((((0.885093 * X4) / (sqrt(1 + ((-3.198417) * X3) ^ 2))) / (sqrt(1 + (22.812473 * X2) ^ 2))) + (2.462574 * X2)))),11,0.002749490551650524,0.00283576687797904,1000.0
6,(0.027273 + (0.627697 * tanh((tanh((((-0.898339) + (1.829236 * X4)) - ((-17.866245) * X2))) - ((-5.405168) * X1))))),13,0.0026005073450505733,0.0030179317109286785,28.5
7,((-0.017756) + (1.154273 * (tanh(((3.803511 * X3) - ((0.776414 + ((-2.039027) * X4)) - (15.464684 * X2)))) - ((-5.337812) * X1)))),14,0.0011384752579033375,inf,1000.0
8,((-0.019166) + (1.264001 * tanh((tanh(((3.803511 * X3) - ((0.776414 + ((-2.039027) * X4)) - (15.464684 * X2)))) - ((-5.337812) * X1))))),15,0.0010871572885662317,0.00535883754491806,1000.0
9,((-0.000040) + (0.989345 * ((tanh(((6.138375 * X3) - ((1.219776 + ((-3.122883) * X4)) - (16.574198 * X2)))) - ((-6.721111) * X1)) - ((-4.669064) * X2)))),16,0.0009436304681003094,inf,1000.0
10,((-0.000757) + (0.995650 * tanh((((4.716040 * X2) - tanh((((-6.433490) * X3) - (((-1.295687) + (3.421295 * X4)) - ((-18.891457) * X2))))) - ((-6.891448) * X1))))),17,0.0008586853509768844,0.0038606650196015835,1000.0
11,((-0.007262) + (1.041893 * ((((4.410490 * X2) - tanh((((-5.651597) * X3) - (((-1.201620) + (3.166492 * X4)) - ((-17.746765) * X2))))) - ((-6.733596) * X1)) / (sqrt(1 + ((-2.352591) * X3) ^ 2))))),18,0.0007529804715886712,inf,1000.0
12,((-0.009748) + (1.073962 * tanh((((tanh(((6.656682 * X3) - ((1.395461 + ((-3.791788) * X4)) - (20.832176 * X2)))) + (7.146851 * X1)) + (5.288929 * X2)) / (sqrt(1 + ((-2.432504) * X3) ^ 2)))))),19,0.0006805103621445596,0.00419201236218214,1000.0
13,((-0.007644) + (1.015308 * (((((3.786866 * X2) - tanh((((-5.414579) * X3) - (((-1.181073) + (3.216129 * X4)) - ((-18.793095) * X2))))) - ((-10.102807) * X1)) / (sqrt(1 + ((-2.963617) * X3) ^ 2))) - (3.407293 * X1)))),20,0.0006437963456846774,inf,1000.0
14,((-0.000517) + (1.010670 * ((((tanh((4.170764 * X2)) - tanh((((-5.522489) * X3) - (((-1.202367) + (3.259619 * X4)) - ((-18.828772) * X2))))) - ((-10.102540) * X1)) / (sqrt(1 + ((-2.914307) * X3) ^ 2))) - (3.408417 * X1)))),21,0.0006368653848767281,inf,1000.0
15,(0.000091 + (0.996554 * ((((((-0.066617) - ((-3.930732) * X2)) - tanh((((-5.540362) * X3) - (((-1.139240) + (3.265056 * X4)) - ((-19.355257) * X2))))) - ((-10.494290) * X1)) / (sqrt(1 + ((-3.014365) * X3) ^ 2))) - (3.432533 * X1)))),22,0.0006334835197776556,inf,1000.0
16,(0.000133 + (0.967597 * (((tanh((((1.481357 * X4) / (sqrt(1 + ((-2.965120) * X3) ^ 2))) - ((-6.849766) * X2))) - tanh((1.133307 * X4))) - tanh((((-5.880600) * X3) - (((-1.283553) + (3.200221 * X4)) - ((-17.402569) * X2))))) - ((-6.894041) * X1)))),24,0.0005748900002799928,inf,1000.0
17,((-0.001812) + (1.025977 * tanh((((tanh((((1.420776 * X4) / (sqrt(1 + ((-2.873640) * X3) ^ 2))) - ((-6.901712) * X2))) - tanh((1.113815 * X4))) - tanh((((-6.562386) * X3) - (((-1.401057) + (3.615869 * X4)) - ((-19.858919) * X2))))) - ((-7.124739) * X1))))),25,0.0005413490580394864,,1000.0
18,(0.000181 + (1.115209 * tanh(((((tanh((((1.388763 * X4) / (sqrt(1 + ((-3.104147) * X3) ^ 2))) - ((-8.564763) * X2))) - tanh((1.057724 * X4))) - tanh((((-5.413538) * X3) - (((-1.213692) + (3.024490 * X4)) - ((-17.375143) * X2))))) - ((-6.743178) * X1)) + ((-1.969376) * X2))))),27,0.0005251402617432177,0.0029811400454491377,1000.0
19,(0.000023 + (1.020607 * (((tanh(((5.415520 * X3) - ((1.332802 + ((-3.185581) * X4)) - (18.983446 * X2)))) + (5.861161 * X1)) + (tanh((((0.142681 + (1.425058 * X4)) / (sqrt(1 + ((-3.756142) * X3) ^ 2))) - ((-8.642277) * X2))) - tanh((1.061574 * X4)))) - (3.107403 * X2)))),28,0.0004891831777058542,0.0029231139924377203,1000.0
