position,complexity,equation,pysr_loss,validation_mse,reward
0,1,0.21518539,0.1258211,0.13795438408851624,5.0
1,2,tanh(x3),0.10105206,0.04389417544007301,103.4000015258789
2,3,tanh(tanh(x3)),0.065317854,0.024898244068026543,103.9000015258789
3,4,tanh(tanh(tanh(x3))),0.055384465,0.018777884542942047,103.80000305175781
4,5,tanh(tanh(x1 - x2)),0.05229159,0.016701148822903633,36.5
5,6,x1 - tanh(tanh(tanh(x2))),0.049124252,0.015809906646609306,36.60000228881836
6,7,x1 - tanh(tanh(tanh(tanh(x2)))),0.047544047,0.016065098345279694,36.60000228881836
7,8,tanh(tanh((x1 - tanh(x2)) + 0.06996099)),0.046225313,0.015275322832167149,19.899999618530273
8,9,x1 + tanh(tanh(0.06996099 - tanh(tanh(x2)))),0.044353586,0.015157788060605526,19.899999618530273
9,10,tanh(tanh(tanh(tanh(tanh(x3) + x1))) - -0.05400371),0.043075528,0.01694219745695591,58.70000076293945
10,12,x1 + tanh((((-0.7492048 * -0.67748356) / 1.7212036) * x3) + x1),0.040253498,0.02139073796570301,239.1999969482422
11,13,x1 + (((x3 * ((x0 + -0.7492048) * -0.67748356)) / 1.7212036) + x1),0.03914152,0.022542156279087067,237.90000915527344
12,14,(x1 + (tanh(((x3 * 0.40320903) + x1) / 0.6770378) * 0.58976483)) + 0.05783023,0.036560036,0.020075323060154915,66.5
13,16,x1 + tanh(tanh(tanh(x1 + ((x3 / -0.37527862) * (x0 + (x0 + -0.37024114)))))),0.03348149,0.02205761894583702,203.0
14,17,tanh(tanh(tanh(tanh((x2 * (x1 + ((x0 + -0.14405486) * 6.256042))) + x1) / 0.5408971))),0.031767998,0.012977248057723045,42.70000076293945
15,18,(tanh(tanh(tanh(tanh(((tanh(x0) + -0.18016843) * (x3 * -3.090498)) + x1)))) + x1) - -0.026112363,0.028362945,0.018011242151260376,100.0
16,20,tanh(tanh(tanh(tanh(tanh((x2 * 2.6089308) - -0.9825416) + (((x1 * 5.9832006) + x3) + -1.03283))))) + 0.2853298,0.01667141,0.02773458883166313,897.2000122070312
17,22,tanh(tanh(tanh(tanh((((x1 + (x1 * 5.102855)) + x3) + -1.0471841) + tanh((x2 * 2.6935022) - -0.94735575))))) + 0.303355,0.016548853,0.026740720495581627,1000.0
18,23,tanh(tanh(tanh(((((9.043636 * x1) * (0.5076597 + x1)) + -1.0194634) + x3) + tanh((2.6617625 * x2) - -0.99052274)))) + 0.27981853,0.015587739,0.022754715755581856,874.5
19,24,tanh(tanh(tanh(tanh(tanh((x2 * 2.5648031) - -0.97358936) + ((x3 + ((x1 + 0.49027658) * (x1 * 9.107203))) + -1.0142615))))) + 0.27770042,0.015254735,0.02437243051826954,762.6000366210938
