iteration,best_loss,median_loss,candidate_count
0,0.033052824,0.043714557,18
1,0.024125788,0.041664513,20
2,0.023555938,0.040253498,21
3,0.023547944,0.040253498,21
4,0.023544785,0.040253498,21
5,0.023543494,0.039697509,22
6,0.02354325,0.039697509,22
7,0.021472402,0.040253498,21
8,0.018894989,0.040253498,21
9,0.01889054,0.040253498,21
10,0.01889016,0.040253498,21
11,0.018889822,0.040253498,21
12,0.018889576,0.040253498,21
13,0.01888956,0.040253498,21
14,0.01888955,0.039697509,22
15,0.018889548,0.039697509,22
16,0.018428158,0.039697509,22
17,0.017368972,0.040253498,21
18,0.017302014,0.040253498,21
19,0.017293174,0.040253498,21
20,0.01729169,0.040253498,21
21,0.01729069,0.040253498,21
22,0.01718208,0.040253498,21
23,0.01718208,0.040253498,21
24,0.01671694,0.041664513,20
25,0.016362835,0.041664513,20
26,0.015808849,0.041664513,20
27,0.015808847,0.043075528,19
28,0.015656667,0.043075528,19
29,0.015644357,0.043075528,19
30,0.015642822,0.043075528,19
31,0.015641725,0.043075528,19
32,0.015641045,0.043075528,19
33,0.015637377,0.043075528,19
34,0.015632177,0.043075528,19
35,0.015595677,0.043075528,19
36,0.015292908,0.041664513,20
37,0.015264028,0.041664513,20
38,0.0152584165,0.041664513,20
39,0.015254735,0.041664513,20
