position,complexity,equation,pysr_loss,validation_mse,reward
0,1,0.29826188,0.1207751,0.13626812398433685,4.0
1,2,tanh(x3),0.09827424,0.14304323494434357,117.5999984741211
2,3,x3 * 0.33772534,0.0489099,0.059215106070041656,90.0
3,4,tanh(x3) * 0.62646574,0.036788095,0.06295164674520493,119.0999984741211
4,5,tanh(tanh(x3)) * 0.7773333,0.035773266,0.06329194456338882,130.10000610351562
5,6,(tanh(x3) * 0.54881424) + x1,0.03207479,0.05654287710785866,216.90000915527344
6,7,tanh(x1 + (tanh(x3) / 1.602552)),0.031808194,0.05764613300561905,220.10000610351562
7,8,x1 + ((0.5674594 - x0) * tanh(x3)),0.029347425,0.04928748309612274,212.10000610351562
8,9,tanh(x1 + ((0.6441996 - x0) * tanh(x3))),0.029094918,0.052058082073926926,218.5
9,10,(0.58242357 - x0) * tanh((x1 * 5.999982) + x3),0.025036978,0.05120788887143135,203.3000030517578
10,12,(x0 + tanh(x3 + (x1 / 0.16226685))) * (0.582763 - x0),0.024110347,0.05447806045413017,359.0
11,13,tanh((0.58242357 - x0) * tanh((x1 * 5.999982) + x3)) - -0.043207135,0.023862982,0.05162284895777702,118.5999984741211
12,14,tanh(tanh(tanh(((x1 / 0.103948295) + x3) * ((0.5040096 - x0) - x0)))),0.022217434,0.048544615507125854,145.90000915527344
13,16,tanh(tanh(tanh((x3 + ((x1 / 0.1143641) * 1.1006422)) * ((0.50398606 - x0) - x0)))),0.022217426,0.048546403646469116,145.90000915527344
14,17,tanh(tanh((0.06573087 / (x2 + 0.53669685)) + (((x3 + (x1 / 0.2261201)) - x0) * 0.47499627))),0.021015232,0.04208550229668617,28.399999618530273
15,18,tanh(tanh((0.49048355 * (((x1 / tanh(0.3225744)) + x3) - x0)) + (0.06573087 / (0.53669685 + x2)))),0.021010183,0.04162977263331413,25.700000762939453
16,20,tanh(tanh((0.05304884 / (x2 + 0.5933555)) + (((x3 + (x1 / 0.12645896)) - x0) * tanh(0.45562503 - x0)))),0.017392304,0.03329258784651756,55.5
17,21,tanh(tanh((0.053552702 / (x2 + 0.5923014)) + ((((x1 / 0.129647) - x0) + x3) * ((0.3952376 - x0) + 0.04199868)))),0.017258927,0.033278293907642365,54.70000076293945
