generation,best_loss,median_loss,finite_fitness_fraction
0,0.004418437369167805,0.5026274919509888,1.0
1,0.004383118357509375,0.011594991199672222,1.0
2,0.004383118357509375,0.006391956936568022,1.0
3,0.004383118357509375,0.006028642412275076,1.0
4,0.004383118357509375,0.006028642412275076,1.0
5,0.004237263463437557,0.005116257816553116,1.0
6,0.004197104834020138,0.004418437369167805,1.0
7,0.004197104834020138,0.004383118357509375,1.0
8,0.004197104834020138,0.004383118357509375,1.0
9,0.004073366057127714,0.004383118357509375,1.0
10,0.004073366057127714,0.004237263463437557,1.0
11,0.004073366057127714,0.004237263463437557,1.0
12,0.0040018088184297085,0.004197104834020138,1.0
13,0.0040018088184297085,0.004073970951139927,1.0
14,0.0040018088184297085,0.004073366057127714,1.0
15,0.0040018088184297085,0.004073366057127714,1.0
16,0.0040018088184297085,0.004073366057127714,1.0
17,0.0040018088184297085,0.004073362331837416,1.0
18,0.0040018088184297085,0.004042380955070257,1.0
19,0.0040018088184297085,0.004042380955070257,1.0
20,0.004000349901616573,0.0040018088184297085,1.0
21,0.004000349901616573,0.0040018088184297085,1.0
22,0.003978991415351629,0.0040018088184297085,1.0
23,0.003978991415351629,0.0040018088184297085,1.0
24,0.003978991415351629,0.0040018088184297085,1.0
25,0.003978991415351629,0.0040018088184297085,1.0
26,0.003978991415351629,0.004000349901616573,1.0
27,0.003978991415351629,0.004000349901616573,1.0
28,0.003978991415351629,0.004000349901616573,1.0
29,0.003978991415351629,0.004000349901616573,1.0
30,0.0039771250449121,0.004000349901616573,1.0
31,0.0039771250449121,0.004000349901616573,1.0
32,0.0039771250449121,0.004000349901616573,1.0
33,0.0039771250449121,0.003978991415351629,1.0
34,0.0039771250449121,0.003978991415351629,1.0
35,0.0039771250449121,0.003978991415351629,1.0
36,0.0039771250449121,0.003978991415351629,1.0
37,0.003975523170083761,0.003978991415351629,1.0
38,0.003975523170083761,0.003978991415351629,1.0
39,0.003975523170083761,0.0039771250449121,1.0
40,0.003975523170083761,0.0039771250449121,1.0
41,0.003969237674027681,0.0039771250449121,1.0
42,0.003969237674027681,0.0039771250449121,1.0
43,0.003969237674027681,0.0039771250449121,1.0
44,0.003969237674027681,0.0039771250449121,1.0
45,0.003969237674027681,0.003975523170083761,1.0
46,0.0039642504416406155,0.003975522238761187,1.0
47,0.0039642504416406155,0.003969237674027681,1.0
48,0.0039642504416406155,0.003969237674027681,1.0
49,0.0039642504416406155,0.003969237674027681,1.0
