position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.023661915212869644,0.020073994994163513,136.8000030517578,0.023559173569083214,0.020196182653307915,137.40000915527344,"[-16.813505172729492, 0.020539283752441406]"
1,8,0.02364727109670639,0.019920453429222107,127.9000015258789,0.023603295907378197,0.02001304365694523,125.20000457763672,"[-2.131788969039917, 0.027652472257614136]"
2,7,0.023598525673151016,0.01997092366218567,131.6999969482422,0.02341320738196373,0.019964948296546936,133.5,"[-2.5289275646209717, 0.024439901113510132]"
3,6,0.023455368354916573,0.0198757853358984,137.0,0.023392202332615852,0.019960805773735046,136.8000030517578,"[-2.964801549911499, 0.023311764001846313]"
4,5,0.023451238870620728,0.020233655348420143,147.1999969482422,0.023142032325267792,0.020070748403668404,158.0,"[7.942792892456055, -4.295917510986328]"
5,4,0.02343706227838993,0.02042453922331333,146.0,0.022973686456680298,0.02011915110051632,161.3000030517578,"[10.119295120239258, -5.582225799560547]"
6,3,0.023389117792248726,0.01990959420800209,131.40000915527344,0.022842582315206528,0.020082945004105568,125.0,"[-2.9592995643615723, 0.027420014142990112]"
7,2,0.023236367851495743,0.020648736506700516,152.3000030517578,0.023099830374121666,0.02069532312452793,159.8000030517578,"[-12.455902099609375, 0.015048295259475708]"
8,1,0.023203374817967415,0.01992865838110447,151.60000610351562,0.023040298372507095,0.019992846995592117,149.5,"[-10.160386085510254, 0.02043992280960083]"
9,0,0.02270549349486828,0.020273126661777496,157.10000610351562,0.022512972354888916,0.020169837400317192,164.60000610351562,"[-2.427448034286499, 0.016926229000091553]"
